iter	RMSE
0	3268.042382
1	3129.37587
2	3000.838426
3	2878.359237
4	2752.585274
5	2644.680125
6	2542.765665
7	2440.039363
8	2342.093191
9	2255.516086
10	2170.079247
11	2087.203885
12	2008.098649
13	1949.08763
14	1883.642923
15	1819.619077
16	1757.195225
17	1700.949279
18	1646.904257
19	1596.045159
20	1552.395418
21	1503.537594
22	1462.058447
23	1430.878892
24	1388.536259
25	1350.40145
26	1312.630204
27	1280.471448
28	1249.822307
29	1219.786624
30	1192.908246
31	1169.466138
32	1144.299919
33	1120.432415
34	1102.765225
35	1080.221374
36	1057.956995
37	1043.73365
38	1027.269871
39	1013.232493
40	1000.125427
41	987.7519718
42	976.8938762
43	964.9916842
44	952.6096588
45	942.2845523
46	930.6801002
47	919.7085767
48	906.9715781
49	897.4862391
50	890.939635
51	885.0046253
52	872.7751939
53	862.2177219
54	855.0571123
55	849.3048367
56	846.2318426
57	837.6905118
58	832.0617856
59	828.0784878
60	824.6483252
61	820.0113102
62	814.5086657
63	807.7218385
64	798.3613361
65	794.4804174
66	791.0372561
67	786.8485646
68	783.8320801
69	776.9732688
70	771.8810736
71	765.1217385
72	761.2594937
73	758.0305806
74	755.8450484
75	753.6013015
76	750.0265793
77	748.1641538
78	746.3762965
79	743.5906225
80	742.1959188
81	739.3882281
82	735.5799047
83	734.4892824
84	732.3849936
85	728.1741842
86	723.5994937
87	721.5765356
88	719.1736673
89	715.4861065
90	713.3252092
91	711.5922706
92	710.1538275
93	705.3769505
94	702.2613159
95	697.2665986
96	693.6023358
97	691.3893462
98	689.5933479
99	686.6432689
100	684.8278113
101	681.5329466
102	680.0823266
103	678.9369113
104	675.900038
105	673.0334575
106	671.7686384
107	669.3445711
108	665.9622136
109	663.2565204
110	660.2226547
111	657.0244312
112	656.0849303
113	651.5744368
114	648.8169922
115	645.6796843
116	643.2767012
117	640.9032019
118	638.8396693
119	637.2244507
120	635.5381636
121	633.9192901
122	633.0214548
123	630.4903985
124	629.113329
125	626.6942892
126	622.9894743
127	621.4804039
128	619.1829827
129	617.6645926
130	615.8900308
131	613.0631318
132	611.1654173
133	609.8291464
134	608.3099382
135	606.3045489
136	604.4554348
137	603.0468959
138	600.9695804
139	599.596312
140	597.3276064
141	595.8255239
142	592.3674619
143	589.9131105
144	586.7448155
145	584.4197716
146	583.155799
147	580.8550144
148	578.1500805
149	576.6081762
150	575.3423292
151	572.6093202
152	571.4717746
153	570.2878824
154	567.6849187
155	566.6304129
156	563.4153664
157	560.8872749
158	558.7931255
159	557.8899538
160	555.5672819
161	554.661248
162	553.1830341
163	551.0024566
164	548.739003
165	547.0505844
166	546.0097411
167	545.0316533
168	542.8120171
169	541.275137
170	539.8521755
171	537.4489078
172	536.1703163
173	533.5193892
174	532.6893883
175	530.1114654
176	528.6589638
177	527.667146
178	526.5977382
179	525.7757745
180	523.9027474
181	522.2581583
182	520.4709952
183	518.9329487
184	517.3467368
185	515.8466739
186	514.7444903
187	513.4524343
188	512.2582329
189	511.6079632
190	510.0685916
191	508.6879509
192	506.7405892
193	505.0106974
194	503.7570968
195	502.2075935
196	500.9601785
197	499.5786638
198	499.0229219
199	498.1086076
200	496.9943914
201	495.9201586
202	494.9142785
203	494.2006233
204	493.2217542
205	492.4022185
206	491.3857051
207	490.0204433
208	489.5975246
209	488.8626739
210	488.351606
211	487.471581
212	486.4521885
213	485.1170806
214	483.8382728
215	482.7795945
216	481.9044579
217	480.93556
218	480.0247932
219	478.9108015
220	478.1188029
221	477.5780643
222	476.5152838
223	475.5479543
224	474.1378398
225	473.089955
226	472.2186765
227	471.5148696
228	470.3483851
229	469.2149428
230	468.1308651
231	467.6301855
232	467.1495828
233	466.396622
234	465.4740929
235	464.7095862
236	463.8797907
237	463.4580022
238	462.4928266
239	462.0989233
240	461.5275489
241	460.6157197
242	459.8661981
243	458.8783651
244	458.0163422
245	457.2417686
246	456.4957982
247	455.6100373
248	455.2651775
249	454.5879352
250	453.723451
251	453.1534392
252	452.5486497
253	452.1559819
254	451.6434924
255	451.2407399
256	450.6677491
257	449.9095664
258	449.2188195
259	448.7551881
260	448.3010853
261	448.0120313
262	447.1323813
263	446.2840863
264	445.8253027
265	445.2310352
266	444.9048932
267	444.3701183
268	443.7792146
269	443.3168986
270	442.6379782
271	442.2497021
272	441.7346599
273	441.2831257
274	440.8152624
275	440.3898706
276	439.985675
277	439.5000229
278	439.1390578
279	438.4953758
280	437.7808762
281	437.4347556
282	436.9597821
283	436.6814234
284	436.0155029
285	435.5815277
286	435.1382151
287	434.4519613
288	433.8033734
289	433.4181003
290	433.0183286
291	432.586201
292	432.2214555
293	431.8763954
294	431.3346865
295	431.0281939
296	430.3927513
297	430.0555913
298	429.627854
299	429.0446726
