iter	F1	Logloss
0	0.8432432432	0.6735622996
1	0.8429752066	0.6560157536
2	0.8142523364	0.651567663
33	0.8536733455	0.626034068
4	0.8524590164	0.6121114922
5	0.8559373116	0.5995008342
6	0.8550724638	0.5863756323
7	0.8566243194	0.574527767
8	0.8583484027	0.5637014635
9	0.8578313253	0.5513201763
10	0.8562838244	0.5440048441
11	0.8523206751	0.5353191401
12	0.8545564273	0.5261884771
13	0.8585189645	0.5174524922
14	0.8569704285	0.5085849829
15	0.8571428571	0.5008138938
16	0.8562801932	0.492461683
17	0.8545564273	0.4864641925
18	0.8561107766	0.4785223397
19	0.8578313253	0.4722407949
20	0.8598917619	0.4664483481
21	0.8607442977	0.4614705556
22	0.8626274745	0.4525545004
23	0.8641532017	0.4473366354
24	0.8651887358	0.4413475682
25	0.8643457383	0.4354929767
26	0.8652226233	0.4306216159
27	0.8653846154	0.4258454335
28	0.865904991	0.4216195922
29	0.8662267546	0.4174265924
30	0.8628158845	0.4135266998
31	0.865904991	0.4095013965
32	0.8653846154	0.4059728666333	0.8653846154	0.4020832731334	0.8660660661	0.3988093651335	0.8648648649	0.3950465718336	0.8664259928	0.391577391
37	0.8669476219	0.3878192426
38	0.865743528	0.3856163877
39	0.8647023452	0.3825576661
40	0.865060241	0.3796751338
41	0.8655816757	0.3768597514
42	0.8661037394	0.3740048399
43	0.8655816757	0.3712782388444	0.8661037394	0.3691125906445	0.8655816757	0.3668400856446	0.865942029	0.3646220564
47	0.8671497585	0.3627359671
48	0.8664652568	0.3606458357
49	0.8681983071	0.3589034965
50	0.8685645064	0.3566376593
51	0.8685645064	0.3548633461
52	0.868723533	0.3532594925
53	0.8692493947	0.3514561202
54	0.8671497585	0.3495078302
55	0.8685645064	0.3463054451556	0.8680387409	0.3446054709
57	0.8680387409	0.3432006564558	0.869407497	0.3418220687
59	0.8688821752	0.3405754982
60	0.868723533	0.3392288201
61	0.8681983071	0.3377013235
662	0.8372655777	0.399566178663	0.8386706949	0.3982346501664	0.8386706949	0.3969520775665	0.8369565217	0.3956750636666	0.8377723971	0.39462798167	0.8704600484	0.328929932
68	68	0.8365617433	0.392307669	0.8709872804	0.3246014685
70	0.8711433757	0.3236721404
71	0.8706166868	0.3221933718
72	0.8706166868	0.3210382888
73	0.872353297	0.3198854462
74	0.872353297	0.3190037728
75	0.872353297	0.3179188344
76	0.8782243551	0.3164494177
77	0.8782243551	0.3156572377
78	0.8780780781	0.3135733604
79	0.8780780781	0.3126308051
80	0.8775510204	0.3119189054
81	0.8786057692	0.3094171132
82	0.8786057692	0.3081495034
83	0.8786057692	0.3070327986
84	0.8792792793	0.306206236
85	0.8798076923	0.3053973729
86	0.8798076923	0.3045077849
87	0.8792792793	0.3029860394
88	0.8792792793	0.302254595
89	0.8786057692	0.3013598071
90	0.8780780781	0.300685056
91	0.8774038462	0.3000155076
92	0.8779314492	0.2990327177
93	0.8792792793	0.298280931
94	0.87894	0.8481548699	0.36695	0.8795	0.8481548699	0.36596	0.87996	0.8481548699	0.36497	0.88097	0.8486682809	0.3698	0.879898	0.8481548699	0.3699	0.881599	0.8481548699	0.36100	0.882100	0.8481548699	0.36101	0.883101	0.8476420798	0.36102	0.883102	0.8469449486	0.36103	0.883103	0.8483383686	0.35104	0.88104	0.8483383686	0.359105	0.88105	0.8476420798	0.358106	0.88106	0.8490338164	0.3573074006
107	0.8493647913	0.3564910987
108	0.8488512696	0.3557682313
109	0.8493647913	0.355250571
110	0.8493647913	0.3546789434
111	0.8493647913	0.3541293559
112	0.8493647913	0.3535417195
113	0.8510895884	0.3528863883
114	0.8509090909	0.3520461877
115	0.8503937008	0.3509224331
116	0.8503937008	0.3503893136
117	0.8516050878	0.3497425811
118	0.8509090909	0.3494037822
119	0.8509090909	0.3487802505
120	0.8516050878	0.3479155277
121	0.8516050878	0.3475378171
122	0.8509090909	0.3468592158
123	0.8496969697	0.3463484614
124	0.8503937008	0.3461136059
125	0.8509090909	0.3455984605
126	0.8502122498	0.3453296236
127	0.8514251061	0.3446422989
128	0.8528164749	0.3441832215
129	0.8521212121	0.3435210697
130	0.8521212121	0.3430495448
