iter	Passed	Remaining
0	146	73349
1	149	37248
2	153	25475
3	157	19527
4	161	15939
5	164	13528
6	168	11901
7	171	10537
8	175	9562
9	179	8799
10	181	8081
11	185	7562
12	189	7097
13	192	6691
14	196	6349
15	199	6032
16	202	5751
17	206	5518
18	209	5299
19	212	5100
20	217	4953
21	219	4771
22	222	4619
23	225	4468
24	227	4326
25	231	4218
26	237	4152
27	239	4043
28	242	3935
29	244	3834
30	247	3751
31	251	3680
32	254	3603
33	257	3530
34	260	3459
35	263	3397
36	267	3347
37	270	3285
38	273	3231
39	276	3177
40	278	3122
41	281	3070
42	284	3019
43	287	2976
44	289	2932
45	292	2891
46	295	2848
47	298	2815
48	302	2780
49	304	2740
50	307	2710
51	310	2676
52	313	2643
53	316	2612
54	318	2579
55	321	2547
56	324	2523
57	327	2492
58	332	2487
59	335	2458
60	337	2430
61	339	2401
62	342	2375
63	345	2350
64	347	2326
65	350	2301
66	352	2278
67	356	2261
68	358	2241
69	362	2226
70	366	2212
71	368	2188
72	370	2167
73	372	2146
74	375	2125
75	379	2116
76	382	2102
77	385	2085
78	387	2066
79	390	2050
80	394	2038
81	399	2035
82	401	2019
83	405	2007
84	409	2001
85	412	1985
86	414	1968
87	416	1951
88	419	1935
89	421	1918
90	423	1902
91	425	1887
92	428	1874
93	430	1859
94	432	1845
95	435	1831
96	437	1817
97	439	1803
98	442	1792
99	445	1781
100	447	1768
101	450	1756
102	451	1741
103	453	1728
104	456	1716
105	458	1705
106	461	1695
107	464	1684
108	466	1673
109	468	1662
110	471	1650
111	473	1641
112	476	1632
113	478	1621
114	481	1611
115	483	1600
116	485	1589
117	487	1578
118	490	1569
119	493	1561
120	495	1552
121	497	1542
122	499	1532
123	502	1523
124	504	1512
125	507	1506
126	509	1496
127	511	1487
128	513	1478
129	516	1470
130	518	1461
131	520	1452
132	524	1445
133	526	1438
134	529	1431
135	531	1422
136	533	1413
137	535	1405
138	541	1406
139	543	1398
140	547	1394
141	549	1386
142	552	1378
143	555	1374
144	558	1367
145	560	1359
146	564	1356
147	568	1350
148	573	1350
149	575	1342
150	577	1334
151	579	1327
152	581	1319
153	584	1312
154	587	1307
155	589	1300
156	591	1293
157	594	1285
158	596	1278
159	598	1270
160	600	1263
161	602	1257
162	606	1253
163	608	1246
164	615	1248
165	636	1281
166	639	1275
167	646	1277
168	648	1270
169	651	1265
170	655	1261
171	657	1254
172	660	1247
173	662	1240
174	664	1234
175	667	1229
176	670	1222
177	672	1216
178	674	1209
179	676	1202
180	678	1195
181	680	1188
182	681	1180
183	684	1175
184	686	1168
185	688	1162
186	690	1156
187	692	1149
188	694	1143
189	696	1136
190	699	1131
191	701	1125
192	703	1118
193	705	1112
194	707	1106
195	709	1100
196	711	1094
197	713	1088
198	715	1082
199	717	1076
200	719	1070
201	721	1065
202	723	1059
203	726	1053
204	728	1047
205	730	1043
206	733	1037
207	735	1032
208	737	1026
209	739	1021
210	741	1015
211	743	1009
212	745	1004
213	748	999
214	750	994
215	751	988
216	753	982
217	755	977
218	757	972
219	759	966
220	761	961
221	763	956
222	765	951
223	768	946
224	770	941
225	772	936
226	774	931
227	776	926
228	778	921
229	780	916
230	782	911
231	785	906
232	786	901
233	788	896
234	790	891
235	792	886
236	794	882
237	797	877
238	799	872
239	801	868
240	803	863
241	805	858
242	807	853
243	809	849
244	812	845
245	814	840
246	816	836
247	818	831
248	820	827
249	822	822
250	824	818
251	828	814
252	830	810
253	832	806
254	834	801
255	836	797
256	838	792
257	840	788
258	843	784
259	845	780
260	847	776
261	849	771
262	851	767
263	853	763
264	855	758
265	857	754
266	860	750
267	862	746
268	864	742
269	867	738
270	869	734
271	871	730
272	873	726
273	875	722
274	878	718
275	880	714
276	882	710
277	884	706
278	886	702
279	888	698
280	891	694
281	893	690
282	895	686
283	897	682
284	899	678
285	901	674
286	903	670
287	905	666
288	907	662
289	909	658
290	911	654
291	913	650
292	915	646
293	917	643
294	919	639
295	921	635
296	923	631
297	925	627
298	927	623
299	929	619
300	931	616
301	933	612
302	935	608
303	937	604
304	939	600
305	941	597
306	943	593
307	945	589
308	947	585
309	949	582
310	951	578
311	953	574
312	955	571
313	957	567
314	959	563
315	962	560
316	963	556
317	965	552
318	967	549
319	970	545
320	972	542
321	974	538
322	976	535
323	978	531
324	980	527
325	982	524
326	984	520
327	986	517
328	988	513
329	990	510
330	992	506
331	994	503
332	996	499
333	998	496
334	999	492
335	1002	489
336	1004	485
337	1006	482
338	1008	478
339	1009	475
340	1011	471
341	1013	468
342	1015	465
343	1018	461
344	1020	458
345	1022	454
346	1024	451
347	1026	448
348	1028	444
349	1030	441
350	1032	438
351	1034	435
352	1036	431
353	1038	428
354	1040	425
355	1042	421
356	1044	418
357	1046	415
358	1048	411
359	1051	408
360	1053	405
361	1055	402
362	1057	398
363	1059	395
364	1061	392
365	1063	389
366	1065	385
367	1067	382
368	1069	379
369	1071	376
370	1073	373
371	1075	369
372	1077	366
373	1079	363
374	1080	360
375	1083	357
376	1085	354
377	1087	350
378	1088	347
379	1091	344
380	1092	341
381	1095	338
382	1097	335
383	1099	332
384	1101	328
385	1103	325
386	1105	322
387	1107	319
388	1109	316
389	1111	313
390	1113	310
391	1115	307
392	1117	304
393	1119	301
394	1121	298
395	1123	295
396	1125	292
397	1127	288
398	1129	285
399	1131	282
400	1133	279
401	1135	276
402	1137	273
403	1139	270
404	1141	267
405	1143	264
406	1145	261
407	1148	258
408	1150	255
409	1152	252
410	1154	249
411	1156	247
412	1158	244
413	1160	241
414	1162	238
415	1164	235
416	1166	232
417	1168	229
418	1170	226
419	1172	223
420	1174	220
421	1176	217
422	1178	214
423	1180	211
424	1182	208
425	1185	205
426	1186	202
427	1188	200
428	1190	197
429	1193	194
430	1195	191
431	1197	188
432	1199	185
433	1201	182
434	1203	179
435	1205	176
436	1207	174
437	1209	171
438	1211	168
439	1213	165
440	1215	162
441	1217	159
442	1219	156
443	1221	154
444	1223	151
445	1225	148
446	1228	145
447	1230	142
448	1232	139
449	1234	137
450	1236	134
451	1238	131
452	1240	128
453	1242	125
454	1244	123
455	1246	120
456	1248	117
457	1250	114
458	1252	111
459	1254	109
460	1256	106
461	1258	103
462	1260	100
463	1262	97
464	1264	95
465	1266	92
466	1268	89
467	1270	86
468	1272	84
469	1275	81
470	1277	78
471	1279	75
472	1281	73
473	1283	70
474	1285	67
475	1287	64
476	1289	62
477	1291	59
478	1293	56
479	1295	53
480	1297	51
481	1299	48
482	1301	45
483	1303	43
484	1305	40
485	1307	37
486	1309	34
487	1311	32
488	1313	29
489	1315	26
490	1317	24
491	1319	21
492	1321	18
493	1323	16
494	1325	13
495	1326	10
496	1328	8
497	1330	5
498	1332	2
499	1334	0
