iter	F1	Logloss
0	0.8393846154	0.674525066711	0.8595438175	0.656487245222	0.8194945848	0.6505938577
3	0.8202044498	0.6381021796
4	0.8202044498	0.6256504157
5	0.8194945848	0.6168805258
6	0.8199643494	0.6064709285
7	0.8214716526	0.5971232393
8	0.8194528875	0.586360489
9	0.8232445521	0.5770917422
10	0.8237431859	0.569175292
11	0.822815534	0.5605409334
12	0.8221007893	0.5521564578
13	0.8223165555	0.5444406372
14	0.8236714976	0.5388600709
15	0.8241691843	0.5334996643
16	0.8214716526	0.527458621
17	0.8211036992	0.5216561807
18	0.8211036992	0.5151179217
19	0.8233151184	0.5096848759
20	0.8244552058	0.5045362567
21	0.8216019417	0.4992859697
22	0.8201701094	0.4942894705
23	0.8235294118	0.4896692106
24	0.8223165555	0.4856680708
25	0.8235294118	0.4820904753
26	0.8236009732	0.4776110982727	0.8236009732	0.4742792632828	0.824102252	0.4707366787229	0.822954823	0.4673813035
30	0.8619447779	0.4195953949
31	0.822954823	0.4621272668
32	0.8233861145	0.4593246054
33	0.8226691042	0.4561998659
34	0.8233861145	0.4538062952
335	0.8626274745	0.4042612123636	0.8626274745	0.4015105113737	0.8626274745	0.3987394534
38	0.8631452581	0.396373239	0.8228849665	0.4427749495
40	0.8228849665	0.4406398853
41	0.8243161094	0.4388612605
42	0.8243161094	0.4366309007
43	0.8257437766	0.4349695044
44	0.824102252	0.4335275019
45	0.8251066423	0.4322990183
46	0.8253195374	0.4312962833
47	0.8246041413	0.4297164661
48	0.8248175182	0.4290091049
49	0.8253195374	0.4276719005
50	0.8253195374	0.4259951602
51	0.8253195374	0.4248137093
52	0.8251066423	0.4235949322
53	0.8251066423	0.422117967
54	0.8251066423	0.4206780792
55	0.8246041413	0.4202037755
56	0.8243902439	0.4192846679
57	0.8241758242	0.4182730872
58	0.8243902439	0.4172961774
59	0.8238878732	0.4164789914
60	0.8255319149	0.4159660798
61	0.824102252	0.4150785667
62	0.8255319149	0.4139468922
63	0.8255319149	0.4130223021
64	0.8255319149	0.4120935729
65	0.8248175182	0.4112100252
66	0.8238878732	0.4099127545
67	0.8246041413	0.4091115666
68	0.8246041413	0.4081245276
69	0.8246041413	0.4073389643
70	0.8246041413	0.4066323
71	0.824102252	0.4062305216
72	0.824102252	0.4060171722
73	0.8236009732	0.4053194409
74	0.8276699029	0.4045974136
75	0.8276699029	0.4038161489
76	0.8286755772	0.403368533
77	0.8251066423	0.4031059322
78	0.8302114804	0.4022373798
79	0.830713422	0.4016007728
80	0.8337349398	0.4007774474
81	0.8332329922	0.4000780023
82	0.8353365385	0.3995932054
83	0.8353365385	0.3988929262
84	84	0.869928401	0.3392202875
85	0.869928401	0.338526439286	0.8304164152	0.3976888097
87	0.8299155609	0.397276458
88	0.8339350181	0.39672852
89	0.8339350181	0.3962223436
90	0.8329326923	0.395760171
91	0.832230908	0.3952473745
92	0.8327316486	0.3948745849
93	0.8327316486	0.3942518621
94	0.8327316486	0.3937819044
95	0.8332329922	0.3932871845
96	0.8344370861	0.392885822
97	97	0.870292887	0.3318222941
98	0.870292887	0.3311003665
99	0.870292887	0.3306148554
100	0.870292887	0.3299230796
101	0.870292887	0.3294624076
102	0.870292887	0.3290163444
103	0.870292887	0.3283759423
104	0.870292887	0.32801949
105	0.870292887	0.327500206
106	0.870292887	0.3274772032
107	0.8723150358	0.3268779141
108	0.8723150358	0.3264959073
109	0.8729874776	0.3259303675
110	0.8729874776	0.325396131
111	0.8729874776	0.3250010662
112	0.8729874776	0.3245879639
113	0.8729874776	0.3239798
114	0.87114	0.8366485835	0.385115	0.87115	0.83564118	0.3852116	0.8729874776	0.3226009868
117	0.8729874776	0.3221372653
118	0.8729874776	0.3215471525
119	0.873659118	0.3212068672
120	0.873659118	0.3207100252
121	0.873659118	0.3199922416
122	0.873659118	0.3194224632
123	0.8741800835	0.3188834004
124	0.8748510131	0.3184183982
125	0.8748510131	0.3180867083
126	0.8748510131	0.3176274891
127	0.8748510131	0.3173167837
128	0.8748510131	0.3171810855
129	0.8748510131	0.316502475
130	0.8748510131	0.3160916616
131	0.8748510131	0.3156581073
132	0.8748510131	0.3152286302
133	0.8753726893	0.3148312256
134	0.8753726893	0.3146159298
135	0.8753726893	0.3143137948
136	0.8753726893	0.314041151
137	0.8753726893	0.3138532631
138	0.8748510131	0.313243031
139	0.8748510131	0.3129117646
140	0.8753726893	0.3125967142
141	0.8748510131	0.3122406147
142	0.8753726893	0.3119057719
143	0.8753726893	0.3116181753
144	0.8753726893	0.3111966206
145	0.8758949881	0.3107294451
146	0.8758949881	0.3105282187
147	0.8758949881	0.3101726455
148	0.8758949881	0.3096521312
149	0.8758949881	0.3093437439
150	0.8758949881	0.3090431764
151	0.8758949881	0.30868156
152	0.8758949881	0.3083782143
153	0.8758949881	0.3081078456
154	0.8765652952	0.307742584
155	0.8765652952	0.3072872629
156	0.8765652952	0.30699157	0.157	0.8765652952	0.3066685867
158	0.8765652952	0.3064198974
159	0.8765652952	0.3059639686
160	0.8765652952	0.3054876382
161	0.8765652952	0.3051953904
162	0.8758949881	0.3047573949
163	0.8758949881	0.3044218983
164	0.8825622776	0.3040141648
165	0.8825622776	0.3037970192
166	0.8825622776	0.3037614103
167	0.8830860534	0.3033514438
168	0.8830860534	0.3029898502
169	0.8830860534	0.3027537402
170	0.8830860534	0.3023866797
171	0.8830860534	0.3022570302
172	0.8830860534	0.3019869897
173	0.8830860534	0.3019762355
174	0.8836104513	0.3017230935
175	0.8841354724	0.3014781172
176	0.8841354724	0.3011987516
177	0.8841354724	0.3006353032
178	0.8841354724	0.178	0.8389830508	0.3680620617
179	0.8389830508	0.3677714528
180	0.83968181	0.8841354724	0.2996578574
182	0.8841354724	0.2992518477
183	0.8841354724	0.2990113418
184	0.8841354724	0.2988350259
185	0.8841354724	0.2986038574
186	0.8841354724	0.2984774192
187	0.8841354724	0.2982408563
188	0.884188	0.8476821192	0.36189	0.8841354724	0.2976894684
190	0.8841354724	0.2971873638
191	0.8841354724	0.2969448639
192	0.8854599407	0.2964154953
193	0.8841354724	0.2961776635
194	0.8854599407	0.2958528236
195	0.8854599407	0.2955369029
196	0.8854599407	0.2953296973
197	0.8841354724	0.294994705
198	0.8841354724	0.2949487152
199	0.8841354724	0.2946150432
200	0.88200	0.8476821192	0.363201	0.8841354724	0.2941341152
202	0.8841354724	0.2937690689
203	0.8841354724	0.2935686965
204	0.8880994671	0.2933836665
205	0.8880994671	0.292964822
206	0.8886255924	0.2928319842
207	0.8886255924	0.2925366754
208	0.8886255924	0.2923196278
209	0.8880994671	0.2919617194
210	0.8886255924	0.2915873926
211	0.8880994671	0.2914234537
212	0.8880994671	0.291200651
213	0.8880994671	0.2910246762
214	0.8880994671	0.2908746303
215	0.8880994671	0.290538055
216	0.888216	0.8528528529	0.3595832289
217	0.8528528529	0.3593271592218	0.8535414166	0.3591374141220	0.8501199041	0.3564603158
221	0.8501199041	0.3562418201
222	0.8502994012	0.355918538
223	0.8502994012	0.3558032849
224	0.8502994012	0.3555939677
225	0.8516746411	0.3553764887
226	0.8516746411	0.3552684149
227	0.8516746411	0.3550877133
228	0.8516746411	0.3547412922
229	0.8516746411	0.3547213539
230	0.8516746411	0.3230	0.8943231	0.8516746411	0.3231	0.8949232586	0.2858510968
232	0.8949232586	0.2855077436
