iter	Passed	Remaining
0	37	18807
1	39	2	86	14296
3	131	16348
4	135	13449
5	137	11357
6	140	9881
7	149	9193
8	164	8979
9	173	8484
10	182	8104
11	218	8874
12	221	8299
13	244	8482
14	254	8232
15	273	8273
16	281	7991
17	285	7634
18	286	7254
19	288	6912
20	297	6785
21	299	6502
22	329	6843
23	334	6629
24	338	6423
25	344	6280
26	346	6072727	348	5872828	349	5672929	361	56630	381	5773
31	406	5944
3232	422	5973333	445	6108
34	448	59535	453	5840
36	456	5709
37	477	5803
38	478	5661
3939	497	5714040	514	5760
41	544	5939
42	552	5873
43	557	5774444	577	5843
45	580	5724646	582	5614747	586	5524848	612	5638
49	616	5548
50	618	5444
51	634	5463
52	636	5367
53	638	5269
54	639	5175555	655	5200
56	657	5111
57	659	5025
58	662	4948
59	679	4986
60	682	4914
61	684	4836
62	688	4772
63	696	4747
64	698	4676565	707	4655
66	718	4643
67	720	4579
68	734	4589
69	743	4567
70	748	4520
71	750	4461
72	753	4406
73	759	4373
74	774	4387575	782	4367676	805	4426
77	806	4365
78	808	4307979	836	4394
80	838	4337
81	856	4364
82	858	4315
83	860	42684	879	4291
85	881	4243
8686	916	4349
87	935	4381
88	938	4333
89	952	4339
90	959	4310
91	962	4270
92	968	4238
93	972	4198
94	977	4167
95	992	4176
96	1001	4197	988	4055
98	992	4020
99	995	3983
100	998	3945
101	1021	3987
102	1023	3944
103	1026	3906
104	1049	3946
105	1051	3908
106	1088	3998
107	1107	4021
108	1113	3994
109	111109	108110	1168	4093
111	1170	4054
112	1172	4016
113	1183	4005
114	119114	115115	119115	116116	1217	3985
117	1220	3950
118	1239	3968
119	1241	3930
120	1246	3904
121	1251	3878
122	1275	3908
123	1281	3884
124	1298	3895
125	1303	3867
126	1309	3845
127	1326	3855
128	1328	3820
129	1332	3791
130	1334	3758
131	1342	3743
132	1367	3774
133	1369	3741
134	1372	3711
135	1407	3767
136	1410	3736
137	1435	3764
138	1436	3731
139	1438	3700
140	1452	3698
141	1454	3666
142	1485	3708
143	1491	3686
144	1509	3695
145	1512	3667
146	1531	3678
147	1553	3695
148	1555	3664
149	1565	3653
150	1569	3627
151	1154	1526	3397
155	1534	3383
156	1535	3354
157	1541	3337
158	1544	156	1588	3469
157	1591	3444
158	1610	3454
159	1617	3436
160	1636	3445
161	1639	3420
162	1165	1603	163	1645	3370
164	1666	3384
165	1168	1635	166	1685	3360
167	1170	1651	168	1728	3384
169	1731	3361
170	1733	3335
171	1174	1704	3165
175	1707	3143
176	1730	3158
177	1732	3134
178	1766	3168
179	1769	3144
180	1781	3140
181	1788	3124
182	1791	3103
183	1797	3087
184	1801	3067
185	1803	3044
186	1810	3030
187	1819	3019
188	1823	3000
189	1825	2979
190	1827	2956
191	1829	189	1873	3056
190	1875	3033
191	1194	1852	2897
195	1854	2876
196	1858	2859
197	1863	2842
198	1869	2827
199	1876	2815
200	1886	2806
201	1887	2784
202	1891	2766
203	1909	2770
204	1912	2751
205	1916	203	1971	2860
204	1973	2839
205	1974	2818
206	1975	2796
207	1977	2775
208	1211	1945	209	1212	1949	210	1213	1960	2620
214	1965	2605
215	1978	2601
216	1980	2583
217	1984	2567
218	1989	2552
219	1990	2533
220	2008	2535
221	2024	2534
222	2027	2518
223	2028	2499
224	2030	2482
225	2032	2464
226	2033	2445
227	2035	2427
228	2055	2432
22226	209227	209227	209228	209228	209229	223229	210230	2117	2465
231	2135	2466
232	2172	2489
233	2176	2473
234	2181	2460
235	2185	2444
236	2196	2437
237	2199	2421
238	2210	2413
239	2211	2395
240	2213	2378
241	2237	2385
242	2241	2370
243	2248	2359
244	2263	2355
245	2267	2341
246	2272	2327
247	227247	2303	2341
248	230249	2294	2294
250	2298	2280
251	225254	2239	2151
255	2241	2136
256	2257	2134
257	2269	2129
258	2290	2131
259	2293	2117
260	2317	2122
261	2319	2107
262	2331	2101
263	2333	2085
264	2348	2082
265	2349	2066
266	2353	2053
267	2365	2047
268	2374	2038
269	2393	2038
270	2394	2023
271	2399	2011
272	2402	1998
273	2412	1989
274	2415	1976
275	2420	1964
276	2423	1951
277	2444	1951
278	2445	1937
279	2447	1922
280	2449	1908
281	2453	1896
282	2470	1894
283	2473	1880
284	2476	1868
285	2478	1854
286	2507	1860
287	2508	1846
288	2532	1848
289	2534	1835
290	2535	1821
291	2635	1877
292	2646	1869
293	2648	1855
294	2671	1856
295	2672	1841
296	2680	1832
297	2682	1818
298	2698	1813
299	2700	1800
300	2701	1786
301	2705	1773
