iter	RMSE
0	4353.486697
1	4191.328713
2	4047.539583
3	3909.566561
4	3787.561921
5	3668.347329
6	3557.620394
7	3444.013405
8	3331.544701
9	3241.572549
10	3151.832063
11	3059.631699
12	2971.867614
13	2882.255295
14	2804.896469
15	2726.611799
16	2654.273868
17	2586.790264
18	2521.965323
19	2453.298815
20	2398.286296
21	2328.172688
22	2275.328702
23	2225.243294
24	2172.971421
25	2123.803029
26	2074.919499
27	2034.778146
28	1992.221118
29	1956.537776
30	1923.777723
31	1892.590155
32	1853.505726
33	1832.572247
34	1806.349182
35	1775.778381
36	1753.67554
37	1723.820522
38	1698.175681
39	1674.610389
40	1651.231862
41	1632.160839
42	1612.976874
43	1594.671917
44	1578.763369
45	1558.097588
46	1537.685837
47	1522.493785
48	1506.159791
49	1485.81621
50	1474.443107
51	1452.716984
52	1435.588452
53	1422.5733
54	1406.381359
55	1395.342165
56	1377.490965
57	1365.299365
58	1348.588964
59	1339.002608
60	1324.800095
61	1314.468168
62	1304.319613
63	1295.618725
64	1286.840256
65	1278.746052
66	1265.079638
67	1260.552123
68	1255.030452
69	1245.700078
70	1236.761337
71	1227.355292
72	1219.125197
73	1209.21042
74	1202.60639
75	1195.938913
76	1186.799029
77	1170.563362
78	1159.592847
79	1155.978338
80	1148.812124
81	1141.291507
82	1131.984872
83	1124.894206
84	1118.384545
85	1111.736632
86	1101.55796
87	1097.14514
88	1085.944506
89	1077.811601
90	1069.974534
91	1065.239826
92	1056.929299
93	1048.670526
94	1044.834931
95	1039.81059
96	1029.900413
97	1021.414867
98	1011.624571
99	1005.045615
100	996.1698019
101	988.9714378
102	979.8111956
103	971.0003924
104	963.7929535
105	955.7419746
106	948.8258777
107	942.8553733
108	934.0565666
109	924.0147978
110	917.5761556
111	908.2321774
112	902.7269485
113	893.5462776
114	889.5560816
115	884.732985
116	877.5917645
117	872.8187561
118	868.8289443
119	865.5307976
120	859.0387113
121	853.1331716
122	845.9893809
123	840.2723413
124	835.792411
125	830.6228586
126	822.8171461
127	819.0995976
128	813.7110661
129	810.5322
130	804.2172336
131	796.2495584
132	792.5222726
133	785.5118033
134	781.0987148
135	776.3415338
136	771.8577123
137	767.8522855
138	761.3644852
139	756.4229705
140	752.4144115
141	746.2741472
142	742.3640435
143	739.3500757
144	733.603156
145	728.0226184
146	723.0639547
147	717.633331
148	713.5083758
149	708.5936865
150	705.9531922
151	700.8442843
152	697.4993922
153	694.3130779
154	688.6641476
155	685.6450894
156	682.2858692
157	676.2915385
158	672.3097188
159	668.5020619
160	663.3688291
161	660.3993231
162	654.8019813
163	648.4103739
164	645.7058852
165	641.049104
166	635.8423385
167	632.8807971
168	628.8807686
169	625.881926
170	623.3082961
171	619.9742399
172	616.5889453
173	612.5815181
174	609.2266069
175	605.2714983
176	601.5434095
177	595.7099021
178	592.1886233
179	587.2172935
180	584.8270359
181	582.0554415
182	579.1475306
183	576.1181303
184	572.7660206
185	568.572074
186	565.9149423
187	563.2850777
188	558.903096
189	554.6044782
190	552.5213778
191	550.2167936
192	547.4091395
193	544.8830253
194	543.4495309
195	540.411652
196	538.2588795
197	536.4543431
198	532.1076937
199	528.3992815
200	524.6408694
201	522.3150342
202	520.5349268
203	518.8949609
204	517.732049
205	513.0242764
206	511.9570799
207	508.9784044
208	506.1027632
209	501.8543481
210	499.9024004
211	496.7050397
212	494.5157029
213	492.1620233
214	490.5014239
215	486.6243719
216	483.3469555
217	482.2346558
218	479.5102131
219	477.5164032
220	475.7606513
221	473.2875556
222	470.6992617
223	469.1792334
224	465.4337446
225	463.1074787
226	461.4605423
227	459.8338384
228	458.4862278
229	457.1894578
230	455.1768106
231	453.7806269
232	452.650667
233	450.1996382
234	448.4403458
235	447.475035
236	446.4836147
237	445.7649292
238	444.0270503
239	441.7095484
240	438.5625079
241	435.5553028
242	432.3619742
243	430.1826529
244	428.2399094
245	426.805225
246	424.2366782
247	423.4404317
248	422.3793731
249	421.0786139
250	419.474954
251	417.6764566
252	416.2023105
253	413.5862468
254	412.1416764
255	410.6165769
256	409.9126374
257	408.8931057
258	406.2156131
259	405.1916054
260	404.2408268
261	402.4421968
262	400.4375865
263	399.2831334
264	398.4308438
265	396.9621429
266	395.1636041
267	394.228609
268	392.4560797
269	391.3404965
270	389.4128857
271	388.3608334
272	386.2706646
273	384.7409431
274	382.7275916
275	381.3212725
276	380.4894719
277	379.4186071
278	377.9296351
279	377.1731727
280	376.6402116
281	375.8215397
282	374.8490431
283	373.2342312
284	371.6859306
285	370.8393076
286	369.6075668
287	368.9200613
288	367.5691731
289	366.324642
290	365.8144734
291	365.1218338
292	364.0566394
293	362.8214528
294	362.0502091
295	360.8843527
296	360.2892965
297	359.5573823
298	357.6083577
299	356.9580768
