iter	Passed	Remaining
0	0	258
1	1	245
2	2	259
3	3	256
4	4	243
5	4	244
6	6	252
7	6	252
8	7	252
9	8	250
10	9	249
11	10	245
12	10	242
13	11	241
14	12	239
15	13	239
16	14	238
17	15	235
18	15	234
19	16	231
20	17	232
21	18	232
22	19	231
23	20	231
24	21	231
25	21	230
26	22	228
27	23	227
28	24	227
29	25	225
30	25	224
31	26	223
32	27	221
33	28	219
34	28	218
35	29	217
36	30	216
37	31	214
38	31	213
39	32	212
40	33	211
41	34	211
42	35	211
43	36	211
44	37	210
45	37	209
46	38	207
47	39	206
48	40	205
49	40	204
50	41	203
51	42	203
52	43	202
53	44	201
54	45	200
55	45	200
56	46	198
57	47	198
58	48	197
59	49	196
60	50	195
61	50	195
62	51	194
63	52	193
64	53	192
65	53	191
66	54	190
67	55	189
68	56	188
69	56	187
70	57	186
71	58	185
72	59	184
73	60	183
74	60	182
75	61	182
76	62	181
77	63	181
78	64	180
79	65	180
80	66	179
81	67	178
82	68	178
83	68	177
84	69	176
85	70	175
86	71	174
87	72	173
88	72	173
89	73	172
90	74	171
91	75	170
92	76	170
93	77	169
94	78	168
95	78	167
96	79	167
97	80	166
98	81	165
99	82	164
100	83	163
101	83	162
102	84	161
103	85	161
104	86	159
105	86	159
106	87	158
107	88	157
108	89	156
109	90	155
110	90	154
111	91	154
112	92	153
113	93	152
114	94	151
115	94	150
116	95	149
117	96	148
118	97	148
119	98	147
120	98	146
121	99	145
122	100	144
123	101	143
124	101	142
125	102	141
126	103	140
127	104	140
128	105	139
129	105	138
130	106	137
131	107	136
132	108	135
133	108	135
134	109	134
135	110	133
136	111	132
137	112	131
138	113	131
139	114	130
140	114	129
141	115	128
142	116	127
143	116	126
144	117	125
145	118	125
146	119	124
147	120	123
148	121	122
149	121	121
150	122	121
151	123	120
152	124	119
153	125	118
154	126	118
155	127	117
156	127	116
157	128	115
158	129	114
159	130	114
160	131	113
161	132	112
162	132	111
163	133	110
164	134	110
165	135	109
166	136	108
167	136	107
168	137	106
169	138	106
170	139	105
171	140	104
172	141	103
173	142	102
174	142	102
175	143	101
176	144	100
177	145	99
178	145	98
179	146	97
180	147	96
181	148	96
182	148	95
183	149	94
184	150	93
185	151	92
186	152	91
187	153	91
188	153	90
189	154	89
190	155	88
191	156	88
192	157	87
193	158	86
194	158	85
195	159	84
196	160	83
197	161	83
198	162	82
199	163	81
200	163	80
201	164	79
202	165	79
203	166	78
204	167	77
205	167	76
206	168	75
207	169	74
208	170	74
209	170	73
210	171	72
211	172	71
212	173	70
213	173	69
214	174	69
215	175	68
216	175	67
217	176	66
218	177	65
219	177	64
220	178	63
221	179	62
222	179	62
223	180	61
224	181	60
225	182	59
226	182	58
227	183	58
228	184	57
229	185	56
230	185	55
231	186	54
232	187	53
233	187	53
234	188	52
235	189	51
236	190	50
237	190	49
238	191	48
239	192	48
240	192	47
241	193	46
242	194	45
243	195	44
244	195	43
245	196	43
246	197	42
247	197	41
248	198	40
249	199	39
250	200	39
251	201	38
252	201	37
253	202	36
254	204	36
255	204	35
256	205	34
257	206	33
258	207	32
259	207	31
260	208	31
261	209	30
262	210	29
263	210	28
264	211	27
265	212	27
266	212	26
267	213	25
268	214	24
269	215	23
270	216	23
271	216	22
272	217	21
273	218	20
274	219	19
275	219	19
276	220	18
277	221	17
278	221	16
279	222	15
280	223	15
281	224	14
282	224	13
283	225	12
284	226	11
285	227	11
286	227	10
287	228	9
288	229	8
289	230	7
290	231	7
291	232	6
292	233	5
293	234	4
294	235	3
295	236	3
296	236	2
297	237	1
298	238	0
299	239	0
