car_ID,symboling,aspiration,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,carclass,brandavg
2,3,std,convertible,1,88.6,168.8,64.1,48.8,2548,dohc,9,130,mpfi,3.47,2.68,9.0,111,5000,21,27,16500.0,2.0,16500.0
4,2,std,sedan,0,99.8,176.6,66.2,54.3,2337,ohc,9,109,mpfi,3.19,3.4,10.0,102,5500,24,30,13950.0,3.0,17710.0
5,2,std,sedan,0,99.4,176.6,66.4,54.3,2824,ohc,19,136,mpfi,3.19,3.4,8.0,115,5500,18,22,17450.0,3.0,17710.0
6,2,std,sedan,0,99.8,177.3,66.3,53.1,2507,ohc,19,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250.0,3.0,17710.0
7,1,std,sedan,0,105.8,192.7,71.4,55.7,2844,ohc,19,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710.0,3.0,17710.0
8,1,std,wagon,0,105.8,192.7,71.4,55.7,2954,ohc,19,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920.0,3.0,17710.0
9,1,turbo,sedan,0,105.8,192.7,71.4,55.9,3086,ohc,19,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875.0,3.0,17710.0
10,0,turbo,hatchback,0,99.5,178.2,67.9,52.0,3053,ohc,19,131,mpfi,3.13,3.4,7.0,160,5500,16,22,17859.167,3.0,17710.0
12,0,std,sedan,1,101.2,176.8,64.8,54.3,2395,ohc,9,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925.0,3.0,27662.5
14,0,std,sedan,1,101.2,176.8,64.8,54.3,2765,ohc,21,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0,3.0,27662.5
15,1,std,sedan,1,103.5,189.0,66.9,55.7,3055,ohc,21,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0,3.0,27662.5
16,0,std,sedan,1,103.5,189.0,66.9,55.7,3230,ohc,21,209,mpfi,3.62,3.39,8.0,182,5400,16,22,30760.0,3.0,27662.5
17,0,std,sedan,1,103.5,193.8,67.9,53.7,3380,ohc,21,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0,3.0,27662.5
18,0,std,sedan,1,110.0,197.0,70.9,56.3,3505,ohc,21,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880.0,3.0,27662.5
20,1,std,hatchback,0,94.5,155.9,63.6,52.0,1874,ohc,9,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295.0,0.0,6435.0
21,0,std,sedan,0,94.5,158.8,63.6,52.0,1909,ohc,9,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0,0.0,6435.0
25,1,std,hatchback,0,93.7,157.3,63.8,50.6,1967,ohc,9,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,1.0,8558.0
27,1,std,sedan,0,93.7,157.3,63.8,50.6,1989,ohc,9,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,1.0,8558.0
28,1,turbo,sedan,0,93.7,157.3,63.8,50.6,2191,ohc,9,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558.0,1.0,8558.0
29,-1,std,wagon,0,103.3,174.6,64.6,59.8,2535,ohc,9,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921.0,1.0,8558.0
30,3,turbo,hatchback,0,95.9,173.2,66.3,50.2,2811,ohc,9,156,mfi,3.6,3.9,7.0,145,5000,19,24,12964.0,1.0,8558.0
