car_ID,symboling,aspiration,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
76,1,turbo,hatchback,1,102.7,178.4,68.0,54.8,2910,ohc,2,140,mpfi,3.78,3.12,8.0,175,5000,19,24,16503.0
41,0,std,sedan,0,96.5,175.4,62.5,54.1,2372,ohc,2,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295.0
116,0,std,sedan,1,107.9,186.7,68.4,56.7,3075,l,2,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630.0
66,0,std,sedan,1,104.9,175.0,66.1,54.4,2670,ohc,2,140,mpfi,3.76,3.16,8.0,120,5000,19,27,18280.0
158,0,std,hatchback,0,95.7,166.3,64.4,52.8,2109,ohc,2,98,2bbl,3.19,3.03,9.0,70,4800,30,37,7198.0
154,0,std,wagon,0,95.7,169.7,63.6,59.1,2280,ohc,2,92,2bbl,3.05,3.03,9.0,62,4800,31,37,6918.0
6,2,std,sedan,0,99.8,177.3,66.3,53.1,2507,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250.0
5,2,std,sedan,0,99.4,176.6,66.4,54.3,2824,ohc,5,136,mpfi,3.19,3.4,8.0,115,5500,18,22,17450.0
79,2,std,hatchback,0,93.7,157.3,64.4,50.8,2004,ohc,2,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669.0
201,-1,std,sedan,1,109.1,188.8,68.9,55.5,2952,ohc,2,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845.0
165,1,std,hatchback,1,94.5,168.7,64.0,52.6,2204,ohc,2,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8238.0
86,1,std,sedan,0,96.3,172.4,65.4,51.6,2365,ohc,2,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989.0
100,0,std,hatchback,0,97.2,173.4,65.2,54.7,2324,ohc,2,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949.0
115,0,turbo,wagon,1,114.2,198.9,68.4,58.7,3485,l,2,152,idi,3.7,3.52,21.0,95,4150,25,25,17075.0
163,0,std,sedan,0,95.7,166.3,64.4,52.8,2140,ohc,2,98,2bbl,3.19,3.03,9.0,70,4800,28,34,9258.0
47,2,std,hatchback,1,96.0,172.6,65.2,51.4,2734,ohc,2,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048.0
83,3,turbo,hatchback,0,95.9,173.2,66.3,50.2,2833,ohc,2,156,spdi,3.58,3.86,7.0,145,5000,19,24,12629.0
24,1,turbo,hatchback,0,93.7,157.3,63.8,50.8,2128,ohc,2,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957.0
