car_ID,symboling,aspiration_std,carbody,drivewheel_fwd,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,3,1,4,0,88.6,168.8,64.1,48.8,2548,3,2,130,5,3.47,2.68,9.0,111,5000,21,27,13495.0
2,3,1,4,0,88.6,168.8,64.1,48.8,2548,3,2,130,5,3.47,2.68,9.0,111,5000,21,27,16500.0
3,1,1,1,0,94.5,171.2,65.5,52.4,2823,4,5,152,5,2.68,3.47,9.0,154,5000,19,26,16500.0
4,2,1,3,1,99.8,176.6,66.2,54.3,2337,1,2,109,5,3.19,3.4,10.0,102,5500,24,30,13950.0
5,2,1,3,1,99.4,176.6,66.4,54.3,2824,1,4,136,5,3.19,3.4,8.0,115,5500,18,22,17450.0
6,2,1,3,1,99.8,177.3,66.3,53.1,2507,1,4,136,5,3.19,3.4,8.5,110,5500,19,25,15250.0
7,1,1,3,1,105.8,192.7,71.4,55.7,2844,1,4,136,5,3.19,3.4,8.5,110,5500,19,25,17710.0
8,1,1,2,1,105.8,192.7,71.4,55.7,2954,1,4,136,5,3.19,3.4,8.5,110,5500,19,25,18920.0
9,1,0,3,1,105.8,192.7,71.4,55.9,3086,1,4,131,5,3.13,3.4,8.3,140,5500,17,20,23875.0
10,0,0,1,1,99.5,178.2,67.9,52.0,3053,1,4,131,5,3.13,3.4,7.0,160,5500,16,22,17859.167
11,2,1,3,0,101.2,176.8,64.8,54.3,2395,1,2,108,5,3.5,2.8,8.8,101,5800,23,29,16430.0
12,0,1,3,0,101.2,176.8,64.8,54.3,2395,1,2,108,5,3.5,2.8,8.8,101,5800,23,29,16925.0
13,0,1,3,0,101.2,176.8,64.8,54.3,2710,1,5,164,5,3.31,3.19,9.0,121,4250,21,28,20970.0
14,0,1,3,0,101.2,176.8,64.8,54.3,2765,1,5,164,5,3.31,3.19,9.0,121,4250,21,28,21105.0
15,1,1,3,0,103.5,189.0,66.9,55.7,3055,1,5,164,5,3.31,3.19,9.0,121,4250,20,25,24565.0
16,0,1,3,0,103.5,189.0,66.9,55.7,3230,1,5,209,5,3.62,3.39,8.0,182,5400,16,22,30760.0
17,0,1,3,0,103.5,193.8,67.9,53.7,3380,1,5,209,5,3.62,3.39,8.0,182,5400,16,22,41315.0
18,0,1,3,0,110.0,197.0,70.9,56.3,3505,1,5,209,5,3.62,3.39,8.0,182,5400,15,20,36880.0
19,2,1,1,1,88.4,141.1,60.3,53.2,1488,3,1,61,1,2.91,3.03,9.5,48,5100,47,53,5151.0
20,1,1,1,1,94.5,155.9,63.6,52.0,1874,1,2,90,1,3.03,3.11,9.6,70,5400,38,43,6295.0
21,0,1,3,1,94.5,158.8,63.6,52.0,1909,1,2,90,1,3.03,3.11,9.6,70,5400,38,43,6575.0
22,1,1,1,1,93.7,157.3,63.8,50.8,1876,1,2,90,1,2.97,3.23,9.41,68,5500,37,41,5572.0
23,1,1,1,1,93.7,157.3,63.8,50.8,1876,1,2,90,1,2.97,3.23,9.4,68,5500,31,38,6377.0
24,1,0,1,1,93.7,157.3,63.8,50.8,2128,1,2,98,5,3.03,3.39,7.6,102,5500,24,30,7957.0
25,1,1,1,1,93.7,157.3,63.8,50.6,1967,1,2,90,1,2.97,3.23,9.4,68,5500,31,38,6229.0
26,1,1,3,1,93.7,157.3,63.8,50.6,1989,1,2,90,1,2.97,3.23,9.4,68,5500,31,38,6692.0
27,1,1,3,1,93.7,157.3,63.8,50.6,1989,1,2,90,1,2.97,3.23,9.4,68,5500,31,38,7609.0
28,1,0,3,1,93.7,157.3,63.8,50.6,2191,1,2,98,5,3.03,3.39,7.6,102,5500,24,30,8558.0
29,-1,1,2,1,103.3,174.6,64.6,59.8,2535,1,2,122,1,3.34,3.46,8.5,88,5000,24,30,8921.0
30,3,0,1,1,95.9,173.2,66.3,50.2,2811,1,2,156,3,3.6,3.9,7.0,145,5000,19,24,12964.0
31,2,1,1,1,86.6,144.6,63.9,50.8,1713,1,2,92,1,2.91,3.41,9.6,58,4800,49,54,6479.0
32,2,1,1,1,86.6,144.6,63.9,50.8,1819,1,2,92,1,2.91,3.41,9.2,76,6000,31,38,6855.0
33,1,1,1,1,93.7,150.0,64.0,52.6,1837,1,2,79,1,2.91,3.07,10.1,60,5500,38,42,5399.0
34,1,1,1,1,93.7,150.0,64.0,52.6,1940,1,2,92,1,2.91,3.41,9.2,76,6000,30,34,6529.0
35,1,1,1,1,93.7,150.0,64.0,52.6,1956,1,2,92,1,2.91,3.41,9.2,76,6000,30,34,7129.0
36,0,1,3,1,96.5,163.4,64.0,54.5,2010,1,2,92,1,2.91,3.41,9.2,76,6000,30,34,7295.0
37,0,1,2,1,96.5,157.1,63.9,58.3,2024,1,2,92,1,2.92,3.41,9.2,76,6000,30,34,7295.0
38,0,1,1,1,96.5,167.5,65.2,53.3,2236,1,2,110,1,3.15,3.58,9.0,86,5800,27,33,7895.0
