car_ID,symboling,aspiration,carbody,drivewheel,enginetype,cylindernumber,fuelsystem,boreratio,stroke,compressionratio,price,carvolume,enginepower,averagempg
76,1,turbo,hatchback,1,ohc,2,mpfi,3.78,3.12,8.0,16503.0,664789.76,14259.0,20.96551724137931
41,0,std,sedan,0,ohc,2,1bbl,3.15,3.58,9.0,10295.0,593071.25,3868.8137931034485,29.405940594059402
116,0,std,sedan,1,l,2,mpfi,3.46,3.19,8.4,16630.0,724074.876,7158.6,20.96551724137931
66,0,std,sedan,1,ohc,2,mpfi,3.76,3.16,8.0,18280.0,629271.9999999999,8971.2,21.923076923076923
158,0,std,hatchback,0,ohc,2,2bbl,3.19,3.03,9.0,7198.0,565473.216,3014.1125,32.7917282127031
154,0,std,wagon,0,ohc,2,2bbl,3.05,3.03,9.0,6918.0,637861.572,2709.4,33.440233236151606
6,2,std,sedan,0,ohc,5,mpfi,3.19,3.4,8.5,15250.0,624189.969,6819.04,21.30044843049327
5,2,std,sedan,0,ohc,5,mpfi,3.19,3.4,8.0,17450.0,636734.8319999999,8030.4290909090905,19.603960396039604
79,2,std,hatchback,0,ohc,2,2bbl,2.97,3.23,9.4,6669.0,514610.096,2279.458909090909,33.80200860832138
201,-1,std,sedan,1,ohc,2,mpfi,3.78,3.15,9.5,16845.0,721961.7600000001,8787.12,25.009708737864077
165,1,std,hatchback,1,ohc,2,2bbl,3.19,3.03,9.0,8238.0,567911.6799999999,3149.883333333333,31.055118110236215
86,1,std,sedan,0,ohc,2,2bbl,3.35,3.46,8.5,6989.0,581787.9360000001,5078.128,27.72963604852686
100,0,std,hatchback,0,ohc,2,2bbl,3.33,3.47,8.5,8949.0,618420.696,5202.184615384615,29.756888168557534
115,0,turbo,wagon,1,l,2,idi,3.7,3.52,21.0,17075.0,798599.4120000001,12126.12048192771,24.999999999999996
163,0,std,sedan,0,ohc,2,2bbl,3.19,3.03,9.0,9258.0,565473.216,3058.4166666666665,30.415335463258785
47,2,std,hatchback,1,ohc,2,spfi,3.43,3.23,9.2,11048.0,578430.928,5856.228,26.018691588785043
83,3,turbo,hatchback,0,ohc,2,spdi,3.58,3.86,7.0,12629.0,576454.632,12816.492,20.96551724137931
24,1,turbo,hatchback,0,ohc,2,mpfi,3.03,3.39,7.6,7957.0,509815.59199999995,3867.543272727273,26.373626373626372
12,0,std,sedan,1,ohc,2,mpfi,3.5,2.8,8.8,16925.0,622095.5519999999,4504.251724137931,25.36121673003802
194,0,std,wagon,0,ohc,2,mpfi,3.19,3.4,9.0,12290.0,674941.3890000001,4469.872,27.385159010600706
153,1,std,hatchback,0,ohc,2,2bbl,3.05,3.03,9.0,6488.0,550085.94,2394.491666666667,33.80200860832138
106,3,turbo,hatchback,1,ohcv,6,mpfi,3.43,3.27,7.8,19699.0,576049.341,21852.26923076923,19.261083743842363
75,1,std,hardtop,1,ohcv,8,mpfi,3.8,3.35,8.0,45400.0,794568.96,46178.275555555556,14.834437086092713
98,1,std,wagon,0,ohc,2,2bbl,3.15,3.29,9.4,7999.0,580943.6599999999,2621.8540384615385,33.440233236151606
67,0,std,sedan,1,ohc,2,idi,3.43,3.64,22.0,18344.0,629271.9999999999,6202.285714285715,34.152542372881356
127,3,std,hardtop,1,ohcf,6,mpfi,3.74,2.9,9.5,32528.0,566490.6,18758.550508474575,19.859813084112147
52,1,std,hatchback,0,ohc,2,2bbl,3.03,3.15,9.0,6095.0,552589.302,2351.44,33.80200860832138
178,-1,std,hatchback,0,ohc,2,mpfi,3.31,3.54,8.7,11248.0,629411.86,6568.712380952381,29.04201680672269
171,2,std,hardtop,1,ohc,2,mpfi,3.62,3.5,9.3,11199.0,601053.4399999998,9452.405,26.373626373626372
93,1,std,sedan,0,ohc,2,2bbl,3.15,3.29,9.4,6849.0,574764.63,2494.4296153846153,33.440233236151606
84,3,turbo,hatchback,0,ohc,2,spdi,3.59,3.86,7.0,14869.0,576454.632,13214.604,20.96551724137931
172,2,std,hatchback,1,ohc,2,mpfi,3.62,3.5,9.3,11549.0,601053.4399999998,9575.896666666667,26.373626373626372
38,0,std,hatchback,0,ohc,2,1bbl,3.15,3.58,9.0,7895.0,582089.2999999999,3646.993103448276,29.405940594059402
123,1,std,sedan,0,ohc,2,2bbl,2.97,3.23,9.4,7609.0,542225.992,2654.695272727273,33.80200860832138
156,0,std,wagon,0,ohc,2,2bbl,3.05,3.03,9.0,8778.0,637861.572,3695.7166666666667,29.04201680672269
174,-1,std,sedan,0,ohc,2,mpfi,3.31,3.54,8.7,8948.0,641089.26,6215.958095238096,31.055118110236215
162,0,std,hatchback,0,ohc,2,2bbl,3.19,3.03,9.0,8358.0,565473.216,3032.6916666666666,30.415335463258785
139,2,std,hatchback,0,ohcf,2,2bbl,3.62,2.36,9.0,5118.0,534178.6020000001,2800.1326530612246,33.06666666666666
130,1,std,hatchback,1,dohcv,8,mpfi,3.94,3.11,10.0,31400.5,641507.0549999999,34224.317217391304,20.650759219088933
99,2,std,hardtop,0,ohc,2,2bbl,3.15,3.29,9.4,8249.0,552247.696,2584.527692307692,33.440233236151606
150,0,turbo,wagon,0,ohcf,2,mpfi,3.62,2.64,7.7,11694.0,623303.856,6618.375,23.0
32,2,std,hatchback,0,ohc,2,1bbl,2.91,3.41,9.2,6855.0,469388.95199999993,2119.7413333333334,33.80200860832138
136,2,std,sedan,0,ohc,2,mpfi,3.54,3.07,9.3,15510.0,696139.29,6992.1866666666665,23.661971830985912
61,0,std,sedan,0,ohc,2,2bbl,3.39,3.39,8.6,8495.0,656215.3500000001,5145.35,28.395904436860068
122,1,std,sedan,0,ohc,2,2bbl,2.97,3.23,9.4,6692.0,542225.992,2213.2145454545453,33.80200860832138
96,1,std,hatchback,0,ohc,2,2bbl,3.15,3.29,9.4,7799.0,563129.4239999999,2610.27,33.440233236151606
78,2,std,hatchback,0,ohc,2,2bbl,2.97,3.23,9.4,6189.0,514610.096,2211.2116363636364,33.80200860832138
33,1,std,hatchback,0,ohc,2,1bbl,2.91,3.07,10.1,5399.0,504960.0,1583.16,39.701492537313435
29,-1,std,wagon,0,ohc,2,2bbl,3.34,3.46,8.5,8921.0,674493.7679999998,5443.152,26.373626373626372
34,1,std,hatchback,0,ohc,2,1bbl,2.91,3.41,9.2,6529.0,504960.0,2260.7466666666664,31.67701863354037
196,-1,std,wagon,1,ohc,2,mpfi,3.78,3.15,9.5,13415.0,729523.2000000001,9031.206666666667,25.009708737864077
57,3,std,hatchback,1,rotor,4,4bbl,3.33,3.255,9.4,11845.0,550723.68,2804.4333333333334,19.261083743842363
149,0,std,wagon,0,ohcf,2,2bbl,3.62,2.64,9.0,8013.0,623303.856,4464.9,25.36121673003802
46,0,std,sedan,0,ohc,2,2bbl,3.03,3.11,9.6,8916.5,515592.48,2227.1666666666665,40.09815950920245
22,1,std,hatchback,0,ohc,2,2bbl,2.97,3.23,9.41,5572.0,509815.59199999995,2087.4763636363637,38.69897959183673
51,1,std,hatchback,0,ohc,2,2bbl,3.03,3.15,9.0,5195.0,552589.302,2339.064,30.44189852700491
4,2,std,sedan,0,ohc,2,mpfi,3.19,3.4,10.0,13950.0,634816.956,4724.139272727272,26.373626373626372
35,1,std,hatchback,0,ohc,2,1bbl,2.91,3.41,9.2,7129.0,504960.0,2279.392,31.67701863354037
145,0,std,sedan,0,ohcf,2,2bbl,3.62,2.64,9.0,9233.0,610809.8400000001,4400.325,24.439918533604885
152,1,std,hatchback,0,ohc,2,2bbl,3.05,3.03,9.0,6338.0,550085.94,2424.2,33.80200860832138
108,0,std,sedan,1,l,2,mpfi,3.46,3.19,8.4,11900.0,724074.876,7030.56,20.96551724137931
44,0,std,sedan,1,ohc,2,2bbl,3.31,3.23,8.5,6785.0,564385.4099999999,4215.36375,26.018691588785043
107,1,std,hatchback,1,ohcv,6,mpfi,3.43,3.27,9.0,18399.0,602371.4550000001,17481.815384615384,21.30044843049327
82,3,std,hatchback,0,ohc,2,2bbl,3.35,3.46,8.5,8499.0,558921.48,4998.6816,27.72963604852686
74,0,std,sedan,1,ohcv,8,mpfi,3.8,3.35,8.0,40960.0,846007.6590000001,49115.73333333333,14.834437086092713
77,2,std,hatchback,0,ohc,2,2bbl,2.97,3.23,9.4,5389.0,514610.096,2181.637818181818,38.69897959183673
135,3,std,hatchback,0,ohc,2,mpfi,2.54,2.07,9.3,15040.0,696139.29,6862.889523809524,23.661971830985912
15,1,std,sedan,1,ohc,6,mpfi,3.31,3.19,9.0,24565.0,704276.3700000001,14264.334117647059,21.978021978021975
111,0,turbo,wagon,1,l,2,idi,3.7,3.52,21.0,13860.0,798599.4120000001,11934.746987951807,24.999999999999996
40,0,std,sedan,0,ohc,2,1bbl,3.15,3.58,9.0,8845.0,618691.9280000001,3757.903448275862,29.405940594059402
1,3,std,convertible,1,dohc,2,mpfi,3.47,2.68,9.0,13495.0,528019.904,7353.528,23.333333333333332
168,2,std,hardtop,1,ohc,2,mpfi,3.62,3.5,9.3,8449.0,601053.4399999998,8961.966666666667,26.373626373626372
