car_ID,aspiration,carbody,enginetype,fuelsystem,price,carclass,brandavg,carspace,averagempg,performancebalance,enginedisplacement,curbweight,horsepower
2,std,convertible,dohc,mpfi,4.217483944213906,2.0,16500.0,958659.088,23.333333333333332,5.2344725357153825,3.21439572247361,2548,111
4,std,sedan,ohc,mpfi,4.144574207609616,3.0,17710.0,1166753.8159999999,26.373626373626372,5.095492541991036,3.4513505080466236,2337,102
5,std,sedan,ohc,mpfi,4.241795431295198,3.0,17710.0,1165588.256,19.603960396039604,5.1970825680882395,3.775861599560128,2824,115
6,std,sedan,ohc,mpfi,4.183269843682805,3.0,17710.0,1173148.0019999999,21.30044843049327,5.162111984569121,3.775861599560128,2507,110
7,std,sedan,ohc,mpfi,4.2482185611900745,3.0,17710.0,1455678.924,21.30044843049327,5.216887242668633,3.775861599560128,2844,110
8,std,wagon,ohc,mpfi,4.276921132065773,3.0,17710.0,1455678.924,21.30044843049327,5.233368141586834,3.775861599560128,2954,110
9,turbo,sedan,ohc,mpfi,4.3779433802557834,3.0,17710.0,1455678.924,18.230563002680963,5.273232644464437,3.759368908538663,3086,140
10,turbo,hatchback,ohc,mpfi,4.251861198352068,3.0,17710.0,1203928.11,18.238341968911918,5.326740747586464,3.759368908538663,3053,160
12,std,sedan,ohc,mpfi,4.228528677357181,3.0,27662.5,1159411.9679999999,25.36121673003802,5.057792738884028,3.2789425735327047,2395,101
14,std,sedan,ohc,mpfi,4.324385356490427,3.0,27662.5,1159411.9679999999,23.661971830985912,5.484986356961341,3.768337212823071,2765,121
15,std,sedan,ohc,mpfi,4.39031676847084,3.0,27662.5,1308664.35,21.978021978021975,5.496240106235296,3.768337212823071,3055,121
16,std,sedan,ohc,mpfi,4.4879863311293935,3.0,27662.5,1308664.35,18.238341968911918,5.618011791074619,3.925325411775668,3230,182
17,std,sedan,ohc,mpfi,4.616107757092463,3.0,27662.5,1361958.5700000003,18.238341968911918,5.637725969021171,3.925325411775668,3380,182
18,std,sedan,ohc,mpfi,4.566790912381592,3.0,27662.5,1536403.0000000002,16.901408450704224,5.620434833904387,3.925325411775668,3505,182
20,std,hatchback,ohc,2bbl,3.798995734443881,0.0,6435.0,936990.1799999999,40.09815950920245,4.942840815302773,3.2904988148906185,1874,70
21,std,sedan,ohc,2bbl,3.817895757161795,0.0,6435.0,954419.76,40.09815950920245,4.950877157144681,3.2904988148906185,1909,70
25,std,hatchback,ohc,2bbl,3.794418330874141,1.0,8558.0,940348.838,33.80200860832138,4.869135600587708,3.3224528564332294,1967,68
27,std,sedan,ohc,2bbl,3.8813275841005512,1.0,8558.0,940348.838,33.80200860832138,4.873966023792807,3.3224528564332294,1989,68
28,turbo,sedan,ohc,mpfi,3.932372282147914,1.0,8558.0,940348.838,26.373626373626372,5.021275784911386,3.4028167424193523,2191,102
29,std,wagon,ohc,2bbl,3.950413539369381,1.0,8558.0,1165137.2279999997,26.373626373626372,5.157020311548765,3.514053620806955,2535,88
30,turbo,hatchback,ohc,mfi,4.112739022360172,1.0,8558.0,1101235.0439999998,20.96551724137931,5.425889023234637,3.7351312134195678,2811,145
31,std,hatchback,ohc,1bbl,3.811507979945327,0.0,7295.0,800178.8039999999,51.130434782608695,4.988411432220942,3.375381505754804,1713,58
33,std,hatchback,ohc,1bbl,3.7323133274712426,0.0,7295.0,899520.0,39.701492537313435,4.7983316424158895,3.23853349520887,1837,60
35,std,hatchback,ohc,1bbl,3.853028614712989,0.0,7295.0,899520.0,31.67701863354037,4.858563319760372,3.375381505754804,1956,76
36,std,sedan,ohc,1bbl,3.8630252962294698,0.0,7295.0,1009158.4,31.67701863354037,4.8703905267292775,3.375381505754804,2010,76
37,std,wagon,ohc,1bbl,3.8630252962294698,0.0,7295.0,968733.5849999998,31.67701863354037,4.873404977476551,3.378361230679826,2024,76
38,std,hatchback,ohc,1bbl,3.897352134344313,0.0,7295.0,1053876.5,29.405940594059402,5.03037001758781,3.5076025783163196,2236,86
40,std,sedan,ohc,1bbl,3.946697837245742,0.0,7295.0,1103581.7200000002,29.405940594059402,5.043380693124599,3.5076025783163196,2304,86
