index,curbweight,cylindernumber,carvolume,enginepower,averagempg,price
0,2548,0,528019.904,4613225.978653305,23.700000000000003,13495.0
1,2548,0,528019.904,4613225.978653305,23.700000000000003,16500.0
2,2823,1,587592.6399999999,4455542.204199709,22.150000000000002,16500.0
3,2337,0,634816.956,3841257.0114783486,26.700000000000003,13950.0
4,2824,1,636734.8319999999,4917072.330824559,19.8,17450.0
5,2507,1,624189.969,4871007.913909744,21.700000000000003,15250.0
6,2844,1,766364.0460000001,4871007.913909744,21.700000000000003,17710.0
7,2954,1,766364.0460000001,4871007.913909744,21.700000000000003,18920.0
8,3086,1,769115.802,4839872.831580313,18.35,23875.0
9,3053,1,629188.56,4970654.240686247,18.700000000000003,17859.167
10,2395,0,622095.5519999999,4394274.179881066,25.700000000000003,16430.0
11,2395,0,622095.5519999999,4394274.179881066,25.700000000000003,16925.0
12,2710,1,622095.5519999999,4805131.644295972,24.15,20970.0
13,2765,1,622095.5519999999,4805131.644295972,24.15,21105.0
15,3230,1,704276.3700000001,9233593.977897437,18.700000000000003,30760.0
18,1488,0,452643.156,1522029.3734373564,49.7,5151.0
19,1874,0,515592.48,2717054.4717641943,40.25,6295.0
20,1909,0,525183.36,2717054.4717641943,40.25,6575.0
21,1876,0,509815.59199999995,2694062.978015073,38.8,5572.0
22,1876,0,509815.59199999995,2694062.978015073,34.150000000000006,6377.0
23,2128,0,509815.59199999995,3280385.5425164094,26.700000000000003,7957.0
24,1967,0,507808.444,2694062.978015073,34.150000000000006,6229.0
25,1989,0,507808.444,2694062.978015073,34.150000000000006,6692.0
26,1989,0,507808.444,2694062.978015073,34.150000000000006,7609.0
27,2191,0,507808.444,3280385.5425164094,26.700000000000003,8558.0
28,2535,0,674493.7679999998,3961688.996238753,26.700000000000003,8921.0
29,2811,0,576454.632,6069121.350275809,21.25,12964.0
30,1713,0,469388.95199999993,2266103.723696014,51.25,6479.0
31,1819,0,469388.95199999993,3021188.4895524806,34.150000000000006,6855.0
32,1837,0,504960.0,2248285.5502288267,39.800000000000004,5399.0
33,1940,0,504960.0,3021188.4895524806,31.8,6529.0
34,1956,0,504960.0,3021188.4895524806,31.8,7129.0
35,2010,0,569939.2000000001,3021188.4895524806,31.8,7295.0
36,2024,0,585255.6269999999,3031570.5805818704,31.8,7295.0
37,2236,0,582089.2999999999,3887761.5374641973,29.700000000000003,7895.0
38,2289,0,582089.2999999999,3887761.5374641973,29.700000000000003,9095.0
39,2304,0,618691.9280000001,3887761.5374641973,29.700000000000003,8845.0
40,2372,0,593071.25,3887761.5374641973,29.700000000000003,10295.0
41,2465,0,618691.9280000001,4028084.664890977,25.8,12945.0
42,2293,0,569190.6,3811500.0,27.700000000000003,10345.0
43,2337,0,564385.4099999999,3336837.4942776444,26.25,6785.0
44,1874,0,515592.48,2717054.4717641943,40.25,8916.5
45,1909,0,515592.48,2717054.4717641943,40.25,8916.5
46,2734,0,578430.928,3988315.8253892465,26.25,11048.0
47,4066,1,733506.0479999998,9989309.061094653,16.8,32250.0
48,4066,1,733506.0479999998,9989309.061094653,16.8,35550.0
50,1890,0,552589.302,2526388.4125024523,30.450000000000003,5195.0
51,1900,0,552589.302,2526388.4125024523,34.150000000000006,6095.0
52,1905,0,552589.302,2526388.4125024523,34.150000000000006,6795.0
53,1945,0,579333.0960000001,2526388.4125024523,34.150000000000006,6695.0
54,1950,0,579333.0960000001,2568077.9902665196,34.150000000000006,7395.0
55,2380,0,550723.68,2803243.873372404,19.700000000000003,10945.0
56,2380,0,550723.68,2803243.873372404,19.700000000000003,11845.0
59,2385,0,634932.6900000001,3820048.45022147,28.700000000000003,8845.0
60,2410,0,656215.3500000001,3820048.45022147,28.700000000000003,8495.0
61,2385,0,634932.6900000001,3820048.45022147,28.700000000000003,10595.0
62,2410,0,656215.3500000001,3820048.45022147,28.700000000000003,10245.0
63,2443,0,656215.3500000001,3473549.5984271895,38.7,10795.0
64,2425,0,656215.3500000001,3820048.45022147,28.700000000000003,11245.0
65,2670,0,629271.9999999999,5472405.039597347,22.6,18280.0
67,3515,1,758245.255,5955934.890981571,23.35,25552.0
68,3750,1,787769.849,5955934.890981571,23.35,28248.0
69,3495,1,723650.625,5955934.890981571,23.35,28176.0
71,3740,1,820742.73,8423555.741506325,16.9,34184.0
75,2910,0,664789.76,5935078.676823935,21.25,16503.0
76,1918,0,514610.096,2753931.044193186,38.8,5389.0
77,1944,0,514610.096,2753931.044193186,34.150000000000006,6189.0
78,2004,0,514610.096,2753931.044193186,34.150000000000006,6669.0
79,2145,0,509815.59199999995,3280385.5425164094,26.700000000000003,7689.0
80,2370,0,558921.48,3959320.754638845,26.15,9959.0
81,2328,0,558921.48,3973550.3405388696,28.150000000000002,8499.0
82,2833,0,576454.632,6035404.009440943,21.25,12629.0
83,2921,0,576454.632,6052262.679858375,21.25,14869.0
84,2926,0,576454.632,6052262.679858375,21.25,14489.0
85,2365,0,581787.9360000001,3973550.3405388696,28.150000000000002,6989.0
86,2405,0,581787.9360000001,3973550.3405388696,28.150000000000002,8189.0
87,2403,0,581787.9360000001,3959320.754638845,26.15,9279.0
88,2403,0,581787.9360000001,3959320.754638845,26.15,9279.0
89,1889,0,574764.63,2921673.766308795,33.7,5499.0
90,2017,0,574764.63,2572701.5879210033,47.25,7099.0
91,1918,0,574764.63,2921673.766308795,33.7,6649.0
92,1938,0,574764.63,2921673.766308795,33.7,6849.0
93,2024,0,580943.6599999999,2921673.766308795,33.7,7349.0
94,1951,0,574764.63,2921673.766308795,33.7,7299.0
95,2028,0,563129.4239999999,2921673.766308795,33.7,7799.0
96,1971,0,574764.63,2921673.766308795,33.7,7499.0
97,2037,0,580943.6599999999,2921673.766308795,33.7,7999.0
98,2008,0,552247.696,2921673.766308795,33.7,8249.0
99,2324,0,618420.696,4128352.7220665156,30.150000000000002,8949.0
100,2302,0,618420.696,4128352.7220665156,30.150000000000002,9549.0
105,3139,1,576049.341,7428451.95148196,19.700000000000003,19699.0
106,3139,1,602371.4550000001,7115595.805927844,21.700000000000003,18399.0
107,3020,0,724074.876,4124538.120336724,21.25,11900.0
108,3197,0,724074.876,4615927.785799959,30.25,13200.0
109,3230,0,798599.4120000001,4124538.120336724,21.25,12440.0
111,3075,0,724074.876,4105754.2045796476,21.25,15580.0
112,3252,0,724074.876,4615927.785799959,30.25,16900.0
113,3285,0,771389.8920000001,4105754.2045796476,21.25,16695.0
114,3485,0,798599.4120000001,4615927.785799959,25.0,17075.0
115,3075,0,724074.876,4124538.120336724,21.25,16630.0
116,3252,0,724074.876,4615927.785799959,30.25,17950.0
117,3130,0,714090.1599999999,5830428.596786414,20.700000000000003,18150.0
118,1918,0,509815.59199999995,2694062.978015073,38.8,5572.0
119,2128,0,509815.59199999995,3280385.5425164094,26.700000000000003,7957.0
120,1967,0,507808.444,2694062.978015073,34.150000000000006,6229.0
121,1989,0,542225.992,2694062.978015073,34.150000000000006,6692.0
122,2191,0,542225.992,2933535.242727524,34.150000000000006,7609.0
123,2535,0,674493.7679999998,3973550.3405388696,26.700000000000003,8921.0
124,2818,0,576454.632,6052262.679858375,21.25,12764.0
125,2778,0,579100.6740000001,7052625.92171205,22.6,22018.0
126,3366,1,641507.0549999999,11310659.97246763,21.950000000000003,31400.5
127,2579,0,666250.2000000001,4551962.3584467545,26.6,9295.0
128,2460,0,594631.44,4551962.3584467545,26.6,9895.0
129,2658,0,696139.29,4590653.249493539,24.15,11850.0
130,2695,0,696139.29,4590653.249493539,24.15,12170.0
131,2707,0,696139.29,3293858.546246777,24.15,15040.0
132,2758,0,696139.29,4590653.249493539,24.15,15510.0
133,2808,0,696139.29,5192620.143539613,22.150000000000002,18150.0
134,2847,0,696139.29,5192620.143539613,22.150000000000002,18620.0
135,2050,0,534178.6020000001,3163898.001635251,33.25,5118.0
136,2120,0,539279.028,3205332.7037278507,28.25,7053.0
137,2240,0,558990.718,3205332.7037278507,28.25,7603.0
138,2145,0,590562.0,3591478.3858941025,34.25,7126.0
139,2190,0,590562.0,3292188.520402927,30.25,7775.0
140,2340,0,590562.0,4011353.1413453575,28.700000000000003,9960.0
141,2385,0,610809.8400000001,3591478.3858941025,24.450000000000003,9233.0
142,2510,0,610809.8400000001,3838269.4645748716,26.25,11259.0
143,2290,0,601385.7000000001,3591478.3858941025,29.800000000000004,7463.0
144,2455,0,601385.7000000001,4011353.1413453575,27.700000000000003,10198.0
145,2420,0,623303.856,3591478.3858941025,25.700000000000003,8013.0
146,2650,0,623303.856,3838269.4645748716,23.0,11694.0
147,1985,0,550085.94,2414136.518751408,36.8,5348.0
148,2040,0,550085.94,2414136.518751408,34.150000000000006,6338.0
149,2015,0,550085.94,2414136.518751408,34.150000000000006,6488.0
150,2280,0,637861.572,2414136.518751408,33.7,6918.0
151,2290,0,637861.572,2414136.518751408,29.25,7898.0
153,2081,0,567615.16,2768709.8364924337,33.150000000000006,6938.0
154,2109,0,565473.216,2768709.8364924337,33.150000000000006,7198.0
155,2275,0,567615.16,2829704.5499135866,34.900000000000006,7898.0
156,2275,0,565473.216,2829704.5499135866,42.050000000000004,7788.0
157,2094,0,567615.16,2768709.8364924337,42.050000000000004,7738.0
158,2122,0,565473.216,2768709.8364924337,30.700000000000003,8358.0
159,2140,0,565473.216,2768709.8364924337,30.700000000000003,9258.0
160,2169,0,567911.6799999999,2768709.8364924337,31.25,8058.0
161,2204,0,567911.6799999999,2768709.8364924337,31.25,8238.0
162,2265,0,567911.6799999999,4294406.863284357,27.35,9298.0
163,2300,0,567911.6799999999,4294406.863284357,27.35,9538.0
164,2540,0,601053.4399999998,5237315.215037812,26.700000000000003,8449.0
165,2536,0,601053.4399999998,5237315.215037812,26.700000000000003,9639.0
166,2551,0,601053.4399999998,5237315.215037812,26.700000000000003,9989.0
167,2679,0,601053.4399999998,5237315.215037812,26.700000000000003,11199.0
168,2714,0,601053.4399999998,5237315.215037812,26.700000000000003,11549.0
169,2975,0,612612.1599999999,5237315.215037812,26.700000000000003,17669.0
170,2326,0,641089.26,3330670.5618424644,31.25,8948.0
171,2480,0,641089.26,3016067.547533976,31.35,10698.0
172,2414,0,629411.86,3330670.5618424644,29.25,9988.0
173,2414,0,641089.26,3330670.5618424644,29.25,10898.0
174,2458,0,629411.86,3330670.5618424644,29.25,11248.0
175,2976,1,645993.4,6416752.290523793,21.8,16558.0
176,3016,1,645993.4,6416752.290523793,21.25,15998.0
179,2261,0,626421.695,2404903.1819570507,41.05,7775.0
180,2209,0,626421.695,3522110.836965613,30.150000000000002,7975.0
181,2264,0,626421.695,2404903.1819570507,41.05,7995.0
182,2212,0,626421.695,3522110.836965613,30.150000000000002,8195.0
183,2275,0,626421.695,3522110.836965613,30.150000000000002,8495.0
184,2319,0,626421.695,2407669.322592779,39.25,9495.0
185,2300,0,626421.695,3824810.0,28.700000000000003,9995.0
186,2254,0,568624.5360000001,3737303.1462643114,26.25,11595.0
187,2221,0,545086.72,3737303.1462643114,26.25,9980.0
188,2661,1,664251.4380000001,4871007.913909744,21.25,13295.0
189,2579,0,664251.4380000001,2407669.322592779,35.25,13845.0
190,2563,0,674941.3890000001,3718638.384633343,27.700000000000003,12290.0
191,2912,0,713029.6320000001,5919961.39739269,25.25,12940.0
192,3034,0,729523.2000000001,5919961.39739269,25.25,13415.0
193,2935,0,713029.6320000001,5919961.39739269,25.8,15985.0
194,3042,0,729523.2000000001,5919961.39739269,25.8,16515.0
195,3045,0,713029.6320000001,5302968.605803185,19.25,18420.0
196,3157,0,729523.2000000001,5302968.605803185,19.25,18950.0
197,2952,0,721961.7600000001,5919961.39739269,25.25,16845.0
198,3049,0,720913.92,6226184.902286559,21.700000000000003,19045.0
199,3012,1,721961.7600000001,7245705.972005929,20.25,21485.0
200,3217,1,721961.7600000001,4242934.775495082,26.450000000000003,22470.0
201,3062,0,721961.7600000001,5919961.39739269,21.700000000000003,22625.0
