car_ID,curbweight,cylindernumber,carvolume,enginepower,averagempg,price,CarName
1,2548,0,528019.904,250360500.0,23.700000000000003,13495.0,alfa-romero
3,2823,1,587592.6399999999,313667200.0,22.150000000000002,16500.0,alfa-romero
4,2337,0,634816.956,195065310.0,26.700000000000003,13950.0,audi
5,2824,1,636734.8319999999,274403800.0,19.8,17450.0,audi
6,2507,1,624189.969,262473200.0,21.700000000000003,15250.0,audi
7,2844,1,766364.0460000001,262473200.0,21.700000000000003,17710.0,audi
8,2954,1,766364.0460000001,262473200.0,21.700000000000003,18920.0,audi
9,3086,1,769115.802,315723100.0,18.35,23875.0,audi
10,3053,1,629188.56,360826400.0,18.700000000000003,17859.167,audi
11,2395,0,622095.5519999999,221432400.0,25.700000000000003,16430.0,bmw
12,2395,0,622095.5519999999,221432400.0,25.700000000000003,16925.0,bmw
13,2710,1,622095.5519999999,279155470.0,24.15,20970.0,bmw
14,2765,1,622095.5519999999,279155470.0,24.15,21105.0,bmw
15,3055,1,704276.3700000001,279155470.0,22.25,24565.0,bmw
16,3230,1,704276.3700000001,743566824.0,18.700000000000003,30760.0,bmw
19,1488,0,452643.156,43454448.0,49.7,5151.0,chevrolet
20,1874,0,515592.48,103080600.0,40.25,6295.0,chevrolet
21,1909,0,525183.36,103080600.0,40.25,6575.0,chevrolet
22,1876,0,509815.59199999995,99970200.0,38.8,5572.0,dodge
23,1876,0,509815.59199999995,99970200.0,34.150000000000006,6377.0,dodge
24,2128,0,509815.59199999995,166583340.0,26.700000000000003,7957.0,dodge
25,1967,0,507808.444,99970200.0,34.150000000000006,6229.0,dodge
26,1989,0,507808.444,99970200.0,34.150000000000006,6692.0,dodge
27,1989,0,507808.444,99970200.0,34.150000000000006,7609.0,dodge
28,2191,0,507808.444,166583340.0,26.700000000000003,8558.0,dodge
29,2535,0,674493.7679999998,179291200.0,26.700000000000003,8921.0,dodge
30,2811,0,576454.632,407160000.0,21.25,12964.0,dodge
31,1713,0,469388.95199999993,74533248.0,51.25,6479.0,honda
32,1819,0,469388.95199999993,122080320.0,34.150000000000006,6855.0,honda
33,1837,0,504960.0,75863700.0,39.800000000000004,5399.0,honda
34,1940,0,504960.0,122080320.0,31.8,6529.0,honda
35,1956,0,504960.0,122080320.0,31.8,7129.0,honda
36,2010,0,569939.2000000001,122080320.0,31.8,7295.0,honda
37,2024,0,585255.6269999999,122499840.0,31.8,7295.0,honda
38,2236,0,582089.2999999999,172834200.0,29.700000000000003,7895.0,honda
39,2289,0,582089.2999999999,172834200.0,29.700000000000003,9095.0,honda
40,2304,0,618691.9280000001,172834200.0,29.700000000000003,8845.0,honda
41,2372,0,593071.25,172834200.0,29.700000000000003,10295.0,honda
42,2465,0,618691.9280000001,202979700.0,25.8,12945.0,honda
43,2293,0,569190.6,190575000.0,27.700000000000003,10345.0,honda
44,2337,0,564385.4099999999,137558304.0,26.25,6785.0,isuzu
45,1874,0,515592.48,103080600.0,40.25,8916.5,isuzu
46,1909,0,515592.48,103080600.0,40.25,8916.5,isuzu
47,2734,0,578430.928,183676500.0,26.25,11048.0,isuzu
48,4066,1,733506.0479999998,782947440.0,16.8,32250.0,jaguar
49,4066,1,733506.0479999998,782947440.0,16.8,35550.0,jaguar
51,1890,0,552589.302,93748200.0,30.450000000000003,5195.0,maxda
52,1900,0,552589.302,93748200.0,34.150000000000006,6095.0,maxda
53,1905,0,552589.302,93748200.0,34.150000000000006,6795.0,mazda
54,1945,0,579333.0960000001,93748200.0,34.150000000000006,6695.0,mazda
55,1950,0,579333.0960000001,95295200.0,34.150000000000006,7395.0,mazda
56,2380,0,550723.68,141258600.0,19.700000000000003,10945.0,mazda
57,2380,0,550723.68,141258600.0,19.700000000000003,11845.0,mazda
60,2385,0,634932.6900000001,166755456.0,28.700000000000003,8845.0,mazda
61,2410,0,656215.3500000001,166755456.0,28.700000000000003,8495.0,mazda
62,2385,0,634932.6900000001,166755456.0,28.700000000000003,10595.0,mazda
63,2410,0,656215.3500000001,166755456.0,28.700000000000003,10245.0,mazda
64,2443,0,656215.3500000001,123081408.0,38.7,10795.0,mazda
65,2425,0,656215.3500000001,166755456.0,28.700000000000003,11245.0,mazda
66,2670,0,629271.9999999999,315840000.0,22.6,18280.0,mazda
68,3515,1,758245.255,350532657.0,23.35,25552.0,buick
69,3750,1,787769.849,350532657.0,23.35,28248.0,buick
72,3740,1,820742.73,596097450.0,16.9,34184.0,buick
76,2910,0,664789.76,463050000.0,21.25,16503.0,mercury
77,1918,0,514610.096,102191760.0,38.8,5389.0,mitsubishi
78,1944,0,514610.096,102191760.0,34.150000000000006,6189.0,mitsubishi
79,2004,0,514610.096,102191760.0,34.150000000000006,6669.0,mitsubishi
80,2145,0,509815.59199999995,166583340.0,26.700000000000003,7689.0,mitsubishi
81,2370,0,558921.48,222470600.0,26.15,9959.0,mitsubishi
82,2328,0,558921.48,179828000.0,28.150000000000002,8499.0,mitsubishi
83,2833,0,576454.632,404898000.0,21.25,12629.0,mitsubishi
84,2921,0,576454.632,406029000.0,21.25,14869.0,mitsubishi
85,2926,0,576454.632,406029000.0,21.25,14489.0,mitsubishi
86,2365,0,581787.9360000001,179828000.0,28.150000000000002,6989.0,mitsubishi
87,2405,0,581787.9360000001,179828000.0,28.150000000000002,8189.0,mitsubishi
88,2403,0,581787.9360000001,222470600.0,26.15,9279.0,mitsubishi
89,2403,0,581787.9360000001,222470600.0,26.15,9279.0,mitsubishi
90,1889,0,574764.63,109631340.0,33.7,5499.0,Nissan
91,2017,0,574764.63,81304080.0,47.25,7099.0,nissan
92,1918,0,574764.63,109631340.0,33.7,6649.0,nissan
93,1938,0,574764.63,109631340.0,33.7,6849.0,nissan
94,2024,0,580943.6599999999,109631340.0,33.7,7349.0,nissan
95,1951,0,574764.63,109631340.0,33.7,7299.0,nissan
96,2028,0,563129.4239999999,109631340.0,33.7,7799.0,nissan
97,1971,0,574764.63,109631340.0,33.7,7499.0,nissan
98,2037,0,580943.6599999999,109631340.0,33.7,7999.0,nissan
99,2008,0,552247.696,109631340.0,33.7,8249.0,nissan
100,2324,0,618420.696,201558240.0,30.150000000000002,8949.0,nissan
101,2302,0,618420.696,201558240.0,30.150000000000002,9549.0,nissan
106,3139,1,576049.341,645663200.0,19.700000000000003,19699.0,nissan
107,3139,1,602371.4550000001,516530560.0,21.700000000000003,18399.0,nissan
108,3020,0,724074.876,201372000.0,21.25,11900.0,peugeot
109,3197,0,724074.876,221726200.0,30.25,13200.0,peugeot
112,3075,0,724074.876,197220000.0,21.25,15580.0,peugeot
113,3252,0,724074.876,221726200.0,30.25,16900.0,peugeot
114,3285,0,771389.8920000001,197220000.0,21.25,16695.0,peugeot
115,3485,0,798599.4120000001,221726200.0,25.0,17075.0,peugeot
116,3075,0,724074.876,201372000.0,21.25,16630.0,peugeot
117,3252,0,724074.876,221726200.0,30.25,17950.0,peugeot
118,3130,0,714090.1599999999,384670048.0,20.700000000000003,18150.0,peugeot
119,1918,0,509815.59199999995,99970200.0,38.8,5572.0,plymouth
120,2128,0,509815.59199999995,166583340.0,26.700000000000003,7957.0,plymouth
121,1967,0,507808.444,99970200.0,34.150000000000006,6229.0,plymouth
122,1989,0,542225.992,99970200.0,34.150000000000006,6692.0,plymouth
123,2191,0,542225.992,108856440.0,34.150000000000006,7609.0,plymouth
124,2535,0,674493.7679999998,179828000.0,26.700000000000003,8921.0,plymouth
125,2818,0,576454.632,406029000.0,21.25,12764.0,plymouth
131,2579,0,666250.2000000001,209634480.0,26.6,9295.0,renault
132,2460,0,594631.44,209634480.0,26.6,9895.0,renault
133,2658,0,696139.29,247366350.0,24.15,11850.0,saab
134,2695,0,696139.29,247366350.0,24.15,12170.0,saab
135,2707,0,696139.29,177488850.0,24.15,15040.0,saab
136,2758,0,696139.29,247366350.0,24.15,15510.0,saab
137,2808,0,696139.29,376939200.0,22.150000000000002,18150.0,saab
138,2847,0,696139.29,376939200.0,22.150000000000002,18620.0,saab
139,2050,0,534178.6020000001,118720434.0,33.25,5118.0,subaru
140,2120,0,539279.028,125576352.0,28.25,7053.0,subaru
141,2240,0,558990.718,125576352.0,28.25,7603.0,subaru
142,2145,0,590562.0,153881856.0,34.25,7126.0,subaru
143,2190,0,590562.0,141058368.0,30.25,7775.0,subaru
144,2340,0,590562.0,191101248.0,28.700000000000003,9960.0,subaru
145,2385,0,610809.8400000001,153881856.0,24.450000000000003,9233.0,subaru
146,2510,0,610809.8400000001,208303488.0,26.25,11259.0,subaru
147,2290,0,601385.7000000001,153881856.0,29.800000000000004,7463.0,subaru
148,2455,0,601385.7000000001,191101248.0,27.700000000000003,10198.0,subaru
149,2420,0,623303.856,153881856.0,25.700000000000003,8013.0,subaru
150,2650,0,623303.856,208303488.0,23.0,11694.0,subaru
151,1985,0,550085.94,83506560.0,36.8,5348.0,toyota
152,2040,0,550085.94,83506560.0,34.150000000000006,6338.0,toyota
153,2015,0,550085.94,83506560.0,34.150000000000006,6488.0,toyota
154,2280,0,637861.572,83506560.0,33.7,6918.0,toyota
155,2290,0,637861.572,83506560.0,29.25,7898.0,toyota
157,2081,0,567615.16,105040320.0,33.150000000000006,6938.0,toyota
158,2109,0,565473.216,105040320.0,33.150000000000006,7198.0,toyota
159,2275,0,567615.16,90644400.0,34.900000000000006,7898.0,toyota
160,2275,0,565473.216,90644400.0,42.050000000000004,7788.0,toyota
161,2094,0,567615.16,105040320.0,42.050000000000004,7738.0,toyota
162,2122,0,565473.216,105040320.0,30.700000000000003,8358.0,toyota
163,2140,0,565473.216,105040320.0,30.700000000000003,9258.0,toyota
164,2169,0,567911.6799999999,105040320.0,31.25,8058.0,toyota
165,2204,0,567911.6799999999,105040320.0,31.25,8238.0,toyota
166,2265,0,567911.6799999999,234710784.00000003,27.35,9298.0,toyota
167,2300,0,567911.6799999999,234710784.00000003,27.35,9538.0,toyota
168,2540,0,601053.4399999998,294279936.0,26.700000000000003,8449.0,toyota
169,2536,0,601053.4399999998,294279936.0,26.700000000000003,9639.0,toyota
170,2551,0,601053.4399999998,294279936.0,26.700000000000003,9989.0,toyota
171,2679,0,601053.4399999998,294279936.0,26.700000000000003,11199.0,toyota
172,2714,0,601053.4399999998,294279936.0,26.700000000000003,11549.0,toyota
173,2975,0,612612.1599999999,294279936.0,26.700000000000003,17669.0,toyota
174,2326,0,641089.26,156036048.0,31.25,8948.0,toyota
175,2480,0,641089.26,118161450.0,31.35,10698.0,toyota
176,2414,0,629411.86,156036048.0,29.25,9988.0,toyota
177,2414,0,641089.26,156036048.0,29.25,10898.0,toyota
178,2458,0,629411.86,156036048.0,29.25,11248.0,toyota
179,2976,1,645993.4,468137124.0,21.8,16558.0,toyota
180,3016,1,645993.4,468137124.0,21.25,15998.0,toyota
183,2261,0,626421.695,72875712.0,41.05,7775.0,vokswagen
184,2209,0,626421.695,155165587.5,30.150000000000002,7975.0,volkswagen
185,2264,0,626421.695,72875712.0,41.05,7995.0,volkswagen
186,2212,0,626421.695,155165587.5,30.150000000000002,8195.0,volkswagen
187,2275,0,626421.695,155165587.5,30.150000000000002,8495.0,volkswagen
188,2319,0,626421.695,89342820.0,39.25,9495.0,volkswagen
189,2300,0,626421.695,191240500.0,28.700000000000003,9995.0,volkswagen
190,2254,0,568624.5360000001,172116450.0,26.25,11595.0,vw
191,2221,0,545086.72,172116450.0,26.25,9980.0,vw
192,2661,1,664251.4380000001,262473200.0,21.25,13295.0,volkswagen
193,2579,0,664251.4380000001,89342820.0,35.25,13845.0,volkswagen
194,2563,0,674941.3890000001,168291640.0,27.700000000000003,12290.0,volkswagen
195,2912,0,713029.6320000001,328102488.0,25.25,12940.0,volvo
196,3034,0,729523.2000000001,328102488.0,25.25,13415.0,volvo
197,2935,0,713029.6320000001,328102488.0,25.8,15985.0,volvo
198,3042,0,729523.2000000001,328102488.0,25.8,16515.0,volvo
199,3045,0,713029.6320000001,388809720.0,19.25,18420.0,volvo
200,3157,0,729523.2000000001,388809720.0,19.25,18950.0,volvo
201,2952,0,721961.7600000001,328102488.0,25.25,16845.0,volvo
202,3049,0,720913.92,451967040.0,21.700000000000003,19045.0,volvo
203,3012,1,721961.7600000001,456453580.0,20.25,21485.0,volvo
204,3217,1,721961.7600000001,222065759.99999997,26.450000000000003,22470.0,volvo
205,3062,0,721961.7600000001,328102488.0,21.700000000000003,22625.0,volvo
