customerID,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1393-IMKZG,0,1,1,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,1,1,1,95.85,95.85,0.0
6008-NAIXK,1,1,1,54,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,12,1,1,55.45,2966.95,0.0
1403-LKLIK,0,0,0,33,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12,0,0,20.1,579.4,0.0
4550-VBOFE,1,0,1,70,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1,1,1,102.95,7101.5,1.0
7113-HIPFI,0,0,0,66,No,DSL,Yes,Yes,Yes,Yes,No,No,24,0,0,65.85,4097.05,0.0
4431-EDMIQ,0,0,0,7,No,DSL,Yes,Yes,Yes,Yes,Yes,No,1,1,1,75.7,554.05,0.0
5931-FLJJF,1,0,1,7,No,Fiber optic,No,No,No,No,No,No,1,1,0,70.1,467.55,1.0
2483-XSSMZ,0,1,1,39,No,DSL,Yes,No,No,No,No,No,12,1,1,47.85,1886.4,0.0
7716-YTYHG,0,0,0,48,Yes,Fiber optic,No,No,No,No,No,Yes,12,1,0,82.05,4029.95,1.0
0526-SXDJP,0,0,1,72,No phone service,DSL,Yes,Yes,Yes,No,No,No,24,0,0,42.1,2962.0,0.0
6732-VAILE,0,0,0,70,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,24,1,0,85.95,5931.75,0.0
5345-BMKWB,0,0,1,8,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,0,20.25,158.35,0.0
2672-DZUOY,0,1,1,1,No phone service,DSL,No,No,No,No,No,No,1,1,1,25.15,25.15,1.0
2205-LPVGL,1,0,0,58,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,12,1,0,89.85,5125.75,0.0
1406-PUQVY,0,1,0,1,No,DSL,No,Yes,No,No,No,No,1,1,1,49.9,49.9,0.0
1285-OKIPP,0,1,1,1,No,Fiber optic,No,No,No,No,No,Yes,1,0,1,79.9,79.9,1.0
3167-SNQPL,1,0,0,38,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,1,0,1,101.15,3741.85,0.0
3014-WJKSM,0,0,1,29,No,Fiber optic,No,No,Yes,No,No,No,1,1,0,75.3,2263.4,0.0
2706-QZIHY,0,0,1,15,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,0,0,25.2,387.9,0.0
4646-QZXTF,0,0,1,7,No,DSL,Yes,No,Yes,Yes,Yes,Yes,1,0,0,81.25,580.1,0.0
5956-YHHRX,1,1,1,21,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1,1,1,104.35,2271.85,0.0
3413-BMNZE,1,1,1,1,No,DSL,No,No,No,No,No,No,1,0,0,45.25,45.25,0.0
0334-ZFJSR,0,0,1,55,Yes,DSL,Yes,Yes,No,Yes,No,No,12,1,0,66.05,3462.1,0.0
7905-NJMXS,1,0,1,7,Yes,DSL,Yes,Yes,No,Yes,No,No,1,0,1,64.2,475.0,0.0
7831-QGOXH,0,1,1,18,Yes,Fiber optic,No,No,No,No,Yes,No,1,1,1,85.2,1553.9,1.0
6128-DAFVY,0,1,1,56,No phone service,DSL,No,No,No,No,Yes,Yes,1,1,0,44.85,2564.95,0.0
4636-JGAAI,0,0,1,34,Yes,Fiber optic,No,Yes,No,No,No,Yes,1,0,0,88.85,3000.25,0.0
4023-RTIQM,1,0,1,31,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,12,1,0,50.4,1580.1,0.0
2889-FPWRM,0,0,1,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,12,1,0,117.8,8684.8,1.0
9093-FPDLG,0,1,1,11,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,1,1,1,94.2,999.9,0.0
4822-RVYBB,1,1,1,8,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1,1,1,100.6,819.4,1.0
1498-NHTLT,0,0,0,59,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,24,1,1,86.75,5186.0,0.0
1156-ZFYDO,0,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,1,19.75,19.75,0.0
5387-ASZNZ,1,1,1,66,Yes,DSL,Yes,Yes,No,Yes,No,No,12,1,0,63.85,4174.35,0.0
1173-NOEYG,0,0,1,27,Yes,Fiber optic,No,No,Yes,No,No,Yes,1,0,0,90.15,2423.4,0.0
5091-HFAZW,0,1,1,2,No,Fiber optic,Yes,Yes,No,No,Yes,No,1,1,1,91.15,168.5,0.0
2239-CGBUZ,0,0,1,51,No,DSL,Yes,Yes,No,Yes,No,No,12,1,0,60.5,3145.15,0.0
7463-IFMQU,0,0,1,72,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,0,0,20.05,1423.65,0.0
4644-PIZRT,0,0,0,17,Yes,DSL,Yes,No,Yes,No,Yes,No,12,1,0,70.35,1201.65,0.0
1704-NRWYE,1,1,1,9,No,Fiber optic,No,No,No,No,Yes,No,1,1,1,80.85,751.65,1.0
8197-BFWVU,0,0,0,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,24,1,0,93.25,6688.95,0.0
7786-WBJYI,0,1,1,4,Yes,Fiber optic,No,Yes,No,No,No,No,1,0,0,77.95,305.55,1.0
6061-PQHMK,0,1,1,25,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12,0,0,19.9,527.5,0.0
4465-VDKIQ,0,1,1,18,No,Fiber optic,No,Yes,Yes,No,No,No,1,0,1,77.8,1358.6,0.0
9451-LPGOO,0,1,1,7,Yes,Fiber optic,No,No,No,No,No,Yes,1,1,1,86.8,620.35,1.0
6629-LADHQ,0,1,1,2,No,DSL,Yes,No,No,No,No,No,1,0,0,50.95,123.05,0.0
6007-TCTST,0,0,0,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,24,1,0,115.8,8476.5,0.0
6407-GSJNL,0,1,1,51,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,0,0,24.95,1288.0,0.0
9332-GYWLO,0,0,0,6,No,DSL,No,No,No,No,Yes,No,1,0,1,54.85,355.1,0.0
0336-PIKEI,1,0,1,72,No,DSL,Yes,Yes,Yes,Yes,Yes,No,24,0,0,74.4,5360.75,0.0
5419-JKZNQ,1,0,1,30,Yes,Fiber optic,No,No,No,No,No,No,1,0,0,77.9,2351.45,0.0
3148-AOIQT,0,0,1,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,1,0,24.95,1718.35,0.0
6502-MJQAE,0,1,1,1,No,Fiber optic,No,No,No,No,No,No,1,1,1,69.6,69.6,1.0
5562-YJQGT,0,1,1,2,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,0,20.35,35.1,0.0
1162-ECVII,1,0,1,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,24,1,0,109.75,7932.5,0.0
0621-TWIEM,0,1,1,10,No,DSL,No,No,No,No,No,No,1,1,1,45.55,402.6,1.0
1640-PLFMP,0,1,1,1,No,Fiber optic,No,No,No,No,No,No,1,1,1,70.25,70.25,0.0
2896-TBNBE,0,0,1,40,No,Fiber optic,No,Yes,Yes,No,No,No,12,0,1,80.8,3132.75,0.0
6851-WEFYX,1,0,1,35,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1,1,1,100.8,3437.5,0.0
8305-VHZBZ,0,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,1,0,20.2,20.2,1.0
7024-OHCCK,1,1,1,2,Yes,Fiber optic,No,No,No,No,Yes,Yes,1,1,1,93.85,170.85,1.0
7432-FFVAR,0,0,0,46,No,Fiber optic,No,No,Yes,Yes,No,Yes,12,0,0,90.95,4236.6,0.0
1841-YSJGV,0,0,1,72,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,24,1,0,109.95,7852.4,0.0
8012-SOUDQ,1,1,1,43,Yes,Fiber optic,No,Yes,No,No,Yes,No,1,1,1,90.25,3838.75,0.0
7020-OZKXZ,1,1,1,9,No,Fiber optic,No,No,Yes,No,No,No,1,0,0,75.5,637.4,0.0
9509-MPYOD,0,1,1,35,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12,0,0,20.75,700.45,0.0
5655-JSMZM,1,1,1,49,Yes,Fiber optic,No,No,No,No,Yes,Yes,1,1,1,96.2,4718.25,1.0
8263-OKETD,0,1,1,20,Yes,DSL,No,Yes,No,Yes,No,Yes,1,1,0,68.9,1370.35,0.0
6778-YSNIH,0,1,1,2,No,DSL,No,Yes,No,No,Yes,No,1,1,1,59.0,114.15,0.0
7096-ZNBZI,0,0,1,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,0,0,26.45,1914.5,0.0
0308-GIQJT,1,1,1,71,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,12,0,0,105.75,7382.85,0.0
5628-RKIFK,1,1,1,49,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,1,0,0,101.55,5070.4,0.0
6479-OAUSD,0,1,1,25,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12,0,0,19.9,510.8,0.0
5167-GBFRE,1,1,1,4,No phone service,DSL,No,No,No,No,No,No,1,1,0,25.2,102.5,1.0
2789-HQBOU,0,1,1,3,No,Fiber optic,No,No,No,No,No,Yes,1,1,1,80.35,253.8,0.0
5564-NEMQO,1,1,1,1,No,Fiber optic,No,No,Yes,No,No,No,1,1,0,75.3,75.3,1.0
7123-WQUHX,0,1,1,38,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,12,0,0,95.0,3605.6,0.0
6229-UOLQL,0,0,0,56,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,12,1,0,52.0,2884.9,0.0
2054-PJOCK,0,1,1,60,Yes,DSL,No,No,Yes,Yes,Yes,Yes,12,0,0,80.55,4847.05,0.0
4188-FRABG,0,0,1,57,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,1,1,1,103.05,5925.75,0.0
4486-EFAEB,0,1,1,13,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,1,1,20.4,251.65,0.0
3904-UKFRE,0,1,1,4,Yes,Fiber optic,Yes,No,No,No,No,No,1,1,1,80.1,336.15,0.0
3178-CIFOT,0,1,1,23,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12,1,0,19.65,478.1,0.0
4680-KUTAJ,1,1,1,11,Yes,DSL,Yes,No,No,No,No,No,1,1,1,55.6,580.8,0.0
9306-CPCBC,0,1,1,3,Yes,Fiber optic,No,No,No,No,No,No,1,1,1,74.25,210.3,1.0
0655-YDGFJ,0,1,1,29,No,DSL,No,No,Yes,No,No,No,1,0,0,48.95,1323.7,0.0
