customerID,SeniorCitizen,tenure,MultipleLines,InternetService,TechSupport,Contract,MonthlyCharges,TotalCharges,Churn,StreamersWithTechSupport,Safer,Family,OnlinePayment,All,ExpectedRechargeTimes,MonthlyChargesBin
6352-TWCAU,0,35,1,0,0,1,86.45,3029.1,1,1,0,0,1,0,35.0,1
9700-ZCLOT,0,2,0,2,0,1,20.0,32.7,0,0,0,0,0,0,2.0,0
8070-AAWZP,1,24,0,1,1,1,34.25,828.2,0,0,0,0,0,0,24.0,0
6980-CDGFC,0,67,0,2,0,12,20.85,1327.4,0,0,0,0,0,0,5.583333333333333,0
5536-SLHPM,0,55,1,0,0,1,77.75,4458.15,1,0,0,0,1,0,55.0,1
7609-NRNCA,0,17,0,2,0,12,19.55,280.85,0,0,0,0,0,0,1.4166666666666667,0
9891-NQDBD,0,28,1,2,0,12,25.55,672.2,0,0,0,0,0,0,2.3333333333333335,0
3063-QFSZL,0,1,0,1,0,1,55.4,55.4,1,1,0,0,1,0,1.0,0
6888-SBYAI,0,1,0,1,0,1,50.7,50.7,0,0,0,0,0,0,1.0,0
8805-JNRAZ,0,2,0,1,0,1,49.2,103.7,0,0,0,0,0,0,2.0,0
0431-APWVY,0,28,0,0,0,12,90.1,2598.95,1,1,0,1,0,0,2.3333333333333335,1
1541-ETJZO,0,1,1,1,1,1,62.05,62.05,1,0,0,0,0,0,1.0,0
3750-CKVKH,0,2,0,0,0,1,67.75,116.65,1,0,0,0,1,0,2.0,0
0880-TKATG,0,4,1,0,0,1,101.15,385.9,1,1,0,1,0,0,4.0,1
2507-QZPQS,0,15,1,0,1,1,95.7,1451.1,0,1,0,0,0,0,15.0,1
4486-EFAEB,0,13,0,2,0,1,20.4,251.65,0,0,0,0,1,0,13.0,0
7018-WBJNK,0,13,0,0,0,1,78.3,1033.95,0,1,0,0,0,0,13.0,1
1779-PWPMG,1,72,1,0,1,24,114.65,8333.95,0,1,1,0,0,0,3.0,0
0876-WDUUZ,0,5,0,0,1,1,85.4,425.9,1,1,0,0,0,0,5.0,1
0489-WMEMG,0,23,0,1,1,12,49.45,1119.35,0,0,0,0,1,0,1.9166666666666667,0
1121-QSIVB,0,44,1,1,0,12,77.55,3471.1,0,1,0,0,0,0,3.6666666666666665,1
0853-NWIFK,0,45,0,0,0,12,100.3,4483.95,0,1,0,0,1,0,3.75,1
2055-SIFSS,1,55,1,1,0,1,51.65,2838.55,0,0,0,0,0,0,55.0,0
1757-TCATG,0,35,0,2,0,12,20.05,746.75,0,0,0,1,0,0,2.9166666666666665,0
3453-RTHJQ,0,6,0,0,0,1,69.1,435.0,0,0,0,0,1,0,6.0,0
5982-FPVQN,0,37,1,0,0,1,95.15,3532.85,0,1,0,1,1,0,37.0,1
9236-NDUCW,0,21,0,1,1,24,35.1,770.4,0,0,0,0,0,0,0.875,0
7025-IWFHT,0,41,0,0,1,12,89.55,3729.75,0,1,0,0,1,0,3.4166666666666665,1
5921-NGYRH,0,64,0,0,0,1,73.55,4764.0,0,0,0,0,0,0,64.0,1
2259-OUUSZ,0,7,0,1,1,12,35.5,249.55,0,0,0,0,0,0,0.5833333333333334,0
