customerID,SeniorCitizen,tenure,MultipleLines,InternetService,TechSupport,Contract,TotalCharges,Churn,StreamersWithTechSupport,Safer,Family,OnlinePayment,All,AverageChargesBasedOnContract,MonthlyChargesBin
6352-TWCAU,0,35,1,0,0,1,3029.1,1,0,0,0,1,0,86.545715,1
9700-ZCLOT,0,2,0,2,0,1,32.7,0,0,0,0,0,0,16.35,0
8070-AAWZP,1,24,0,1,1,1,828.2,0,0,0,0,0,0,34.508335,0
6980-CDGFC,0,67,0,2,0,12,1327.4,0,0,0,0,0,0,237.74329,0
5536-SLHPM,0,55,1,0,0,1,4458.15,1,0,0,0,1,0,81.057274,1
7609-NRNCA,0,17,0,2,0,12,280.85,0,0,0,0,0,0,198.24706,0
9891-NQDBD,0,28,1,2,0,12,672.2,0,0,0,0,0,0,288.08572,0
3063-QFSZL,0,1,0,1,0,1,55.4,1,0,0,0,1,0,55.4,0
6888-SBYAI,0,1,0,1,0,1,50.7,0,0,0,0,0,0,50.7,0
8805-JNRAZ,0,2,0,1,0,1,103.7,0,0,0,0,0,0,51.85,0
0431-APWVY,0,28,0,0,0,12,2598.95,1,0,0,1,0,0,1113.8357,1
1541-ETJZO,0,1,1,1,1,1,62.05,1,0,0,0,0,0,62.05,0
3750-CKVKH,0,2,0,0,0,1,116.65,1,0,0,0,1,0,58.325,0
0880-TKATG,0,4,1,0,0,1,385.9,1,0,0,1,0,0,96.475,1
2507-QZPQS,0,15,1,0,1,1,1451.1,0,1,0,0,0,0,96.74,1
4486-EFAEB,0,13,0,2,0,1,251.65,0,0,0,0,1,0,19.357693,0
7018-WBJNK,0,13,0,0,0,1,1033.95,0,0,0,0,0,0,79.534615,1
1779-PWPMG,1,72,1,0,1,24,8333.95,0,1,1,0,0,0,2777.9834,0
0876-WDUUZ,0,5,0,0,1,1,425.9,1,1,0,0,0,0,85.18,1
0489-WMEMG,0,23,0,1,1,12,1119.35,0,0,0,0,1,0,584.00867,0
1121-QSIVB,0,44,1,1,0,12,3471.1,0,0,0,0,0,0,946.6637,1
