iter	F1	Logloss
0	0.8432432432	0.6735622996
1	0.8138528139	0.6641175573
2	0.8142523364	0.651567663
3	0.8146341463	0.6392404714
44	0.8381185095	0.618045401255	0.8381185095	0.604343858166	0.8370098039	0.5915599736
7	0.8366972477	0.5802485992
8	0.8452599388	0.5697169484
9	0.84004884	0.5598991064
10	0.8444173276	0.5507636884
11	0.8472727273	0.5422970892
12	0.8453105968	0.5328752886
13	0.8505467801	0.5246057466
14	0.8494820232	0.5187477132
15	0.8479318735	0.5109074077
16	0.85	0.503039335
17	0.850182704	0.4954860464
18	0.8522796353	0.4889545059
19	0.8512446873	0.4831793302
20	0.8500303582	0.47764074
21	0.8491484185	0.4720412136
22	0.8474164134	0.4666915513
23	0.8557575758	0.4611521465
24	0.855063675	0.4557975978
25	0.8529769137	0.4507455259
26	0.8536733455	0.4471417967
27	0.8561020036	0.4423108577
28	0.8600847971	0.4380716374
29	0.8588734101	0.4346948324
30	0.8593939394	0.4299557725
31	0.8597339782	0.4267123359
32	0.8566221142	0.4231014113
33	0.8567961165	0.4189691118
34	0.8616314199	0.4159755549
35	0.861278649	0.4127229409
36	0.8623188406	0.4100285787
37	0.861278649	0.4071601681
38	0.8643457383	0.4054522229
39	0.8662267546	0.4027563018
40	0.8663870581	0.4003797874
41	0.867441	0.8655816757	0.342	0.8674242	0.8661037394	0.343	0.8691443	0.8655816757	0.344	0.8686244	0.8661037394	0.345	0.8693045	0.8655816757	0.346	0.8682646	0.865942029	0.3647	0.868747	0.8671497585	0.3648	0.868248	0.8664652568	0.3649	0.868949	0.8681983071	0.350	0.8689450	0.8685645064	0.51	0.86946151	0.8685645064	0.3548633461
52	0.868723533	0.3532594925
53	0.8692493947	0.3514561202
54	0.8671497585	0.3495078302
55	0.8685645064	0.3463054451
56	0.8680387409	0.3446054709
57	0.8680387409	0.3432006564
58	0.869407497	0.3418220687
59	0.8688821752	0.3405754982
60	0.868723533	0.3392288201
61	0.8681983071	0.3377013235
62	0.867673716	0.3369242172
63	0.8688821752	0.3351696983
64	0.8681983071	0.3338126396
65	0.869407497	0.3324323435
66	0.8690909091	0.3305788911
67	0.8704600484	0.328929932
68	0.869407497	0.3270597054
69	0.8709872804	0.3246014685
70	0.8711433757	0.3236721404
71	0.8706166868	0.3221933718
72	0.8706166868	0.3210382888
73	0.872353297	0.3198854462
74	0.872353297	0.3190037728
75	0.872353297	0.3179188344
76	0.8782243551	0.3164494177
77	0.8782243551	0.3156572377
78	0.8780780781	0.3135733604
79	0.8780780781	0.3126308051
80	0.8775510204	0.3119189054
81	0.8786057692	0.3094171132
82	0.8786057692	0.3081495034
83	0.8786057692	0.3070327986
84	0.8792792793	0.306206236
85	0.8798076923	0.3053973729
86	0.8798076923	0.3045077849
87	0.8792792793	0.3029860394
88	0.8792792793	0.302254595
89	0.8786057692	0.3013598071
90	0.8780780781	0.300685056
91	0.8774038462	0.3000155076
92	0.8779314492	0.2990327177
93	0.8792792793	0.298280931
94	0.8787515006	0.2976210496
95	0.8787515006	0.296791154
96	0.8798076923	0.2956829794
97	0.8803367408	0.294943442
98	0.8798076923	0.2942354022
99	0.8815393867	0.2933321685
100	0.8827420325	0.2926804227
101	0.8839446783	0.2916911701
102	0.8839446783	0.2907061041
103	0.8839446783	0.2889039163
104	0.8844765343	0.2882332529
105	0.8844765343	0.2867450986
106	0.8850090307	0.2858191996
107	0.8856799037	0.2851244241
108	0.8856799037	0.2845448585
109	0.8856799037	0.2835419274
110	0.8856799037	0.2830534941
111	0.8856799037	0.2819911171
112	0.8862131246	0.2811202293
113	0.8856799037	0.280592695
114	0.8856799037	0.2800086283
115	0.8863499699	0.2796351472
116	0.8858173077	0.2785787351
117	0.8924731183	0.2780369859
118	0.8924731183	0.2774982612
119	0.893006575	0.2766912715
120	0.893006575	0.2756742375
121	0.893006575	0.2751718201
122	0.893006575	0.2747572378
123	0.893006575	0.2742622501
124	0.8923444976	0.2737532787
125	0.8923444976	0.2733559315
126	0.8923444976	0.2729704013
127	0.8923444976	0.272172565
128	0.8923444976	0.2715032752
129	0.893006575	0.2709938021
130	0.8928785159	0.2697812531
131	0.8935406699	0.2693059289
132	0.8935406699	0.2686798356
133	0.8940754039	0.2681930945
134	0.8940754039	0.2677939762
135	0.8947368421	0.2671108757
136	0.8940754039	0.2667501069
137	0.8940754039	0.2661957019
138	0.8940754039	0.2659615703
139	0.8940754039	0.2655297252
140	0.8927501498	0.2649437641
141	0.8927501498	0.264248368
142	0.8934131737	0.2638261886
143	0.8934131737	0.2633613209
144	0.8932853717	0.2625256865
145	0.8932853717	0.2620133754
146	0.8938212358	0.2614345909
147	0.8943577431	0.2610161811
148	0.8956834532	0.2604396658
149	0.8956834532	0.2599435094
150	0.8996415771	0.2596477509
151	0.9001793186	0.259126959
152	0.9008363202	0.2588001546
153	0.9008363202	0.2584803393
154	0.9008363202	0.2580391376
155	0.9008363202	0.2575694871
156	0.9001793186	0.2572909088
157	0.9008363202	0.2563843306
158	0.9013747759	0.2561273031
159	0.9007177033	0.2556825461
160	0.9013747759	0.2553902231
161	0.9013747759	0.255069517
162	0.9008363202	0.2545221049
163	0.9007177033	0.2538078978
164	0.9020310633	0.2532415914
165	0.9007177033	0.2528465718
166	0.9007177033	0.2524853769
167	0.9014925373	0.252129372
168	0.9009546539	0.2519011608
169	0.9025702331	0.2507996406
170	0.9031100478	0.2502437932
171	0.9024536206	0.2495866338
172	0.9024536206	0.2492610064
173	0.9017964072	0.2489571179
174	0.9024536206	0.2486794141
175	0.902994012	0.2480499524
176	0.902994012	0.2477156707
177	0.902994012	0.2470523644
178	0.902994012	0.2467716489
179	0.9035350509	0.2463668351
180	0.9035350509	0.2458728615
181	0.9035350509	0.2454071126
182	0.9035350509	0.2452404909
183	0.9035350509	0.2447496016
184	0.9047333733	0.2442394721
185	0.9047333733	0.2436120107
186	0.9047333733	0.2433294329
187	0.9047333733	0.2429760916
188	0.9047333733	0.2427305308
189	0.9047333733	0.2424884583
190	0.9058188362	0.2419714408
191	0.9070185963	0.2414203925
192	0.9075630252	0.2411200683
193	0.9102870813	0.2407943799
194	0.9102870813	0.2405432958
195	0.9090909091	0.2401270173
196	0.9090909091	0.2395858629
197197	0.8621736491	0.3101753101
198	0.8621736491	0.3099296009
199	0.8626974484	0.3095961325
200	0.8626974484	0.3090159336
201	0.8626974484	0.30896084202202	0.8668280872	0.30860394203203	0.8661417323	0.30834738204204	0.8666666667	0.30803631205205	0.8671922377	0.30774181206206	0.8659793814	0.3074782207	207	0.8665048544	0.3071740671
208	0.8677184466	0.3065404092
209	0.868405094	0.3062049317
210	0.8677184466	0.30605468211211	0.8670309654	0.3056781217
212	0.8690909091	0.3053601012
213	0.8697758934	0.3049790559
214	0.8697758934	0.3043016537
215	0.8715151515	0.3035797029
216	0.8756038647	0.3030926118
217	0.8749244713	0.3028240363
218	0.8749244713	0.3022324537
219	0.8747731397	0.3017398824
220	0.8761329305	0.3014583478
221	0.8768115942	0.3012708938
222	0.8768115942	0.3008349088
223	0.8754534462	0.3003974173
224	0.8754534462	0.300155561
225	0.8761329305	0.2997849116
226	0.8768115942	0.2994683652
227	0.8768115942	0.2992509156
228	0.8774894387	0.2989259165
229	0.8774894387	0.2986302095
230	0.8774894387	0.2983598279
231	0.8774894387	0.2980203697
232	0.8780193237	0.2977884691
233	0.8786964393	0.2973074544
234	0.8786964393	0.2968963063
235	0.8800482218	0.2964293729
236	0.8807228916	0.2962337865
237	0.8807228916	0.2958353526
238	0.8800482218	0.2955186973
239	0.8800482218	0.2950834465
240	0.8793727382	0.2946879464
241	0.8793727382	0.2943143102
242	0.8805790109	0.2937467518
243	0.8805790109	0.2935651863
244	0.8805790109	0.293298683
245	0.8812537673	0.2926664274
246	0.8812537673	0.2923585588
247	0.8812537673	0.2920801656
248	0.8812537673	0.2917403508
249	0.8812537673	0.2914447772
250	0.8817852835	0.291171257
251	0.8804347826	0.2907316878
252	0.8809667674	0.2904687147
253	0.8823174412	0.2901634693
254	0.8829915561	0.2900825078
255	0.8816425121	0.2898283667
256	0.8816425121	0.2896809805
257	0.8816425121	0.2894321199
258	0.8823174412	0.2892252337
259	0.8823174412	0.2889822745
260	0.8823174412	0.2886233192
261	0.8823174412	0.28809072126262	0.8823174412	0.28778535264263	0.8828502415	0.28732682265264	0.8828502415	0.28700689266265	0.8828502415	0.28652455267266	0.8833836858	0.2861946268	267	0.884057971	0.28567491269268	0.884057971	0.28542695227269	0.884592145	0.285031271	2270	0.884057971	0.2848236069
271	0.884592145	0.2845452166
272	0.884592145	0.2841698575
273	0.8851269649	0.2839063505
274	0.8856624319	0.2834353464
275	0.8851269649	0.2830455176
276	0.884592145	0.2824960315
277	0.8851269649	0.282266538
278	0.8851269649	0.281964345
279	0.8851269649	0.2817514634
280	0.8851269649	0.2815958183
281	0.8839177751	0.2813252486
282	0.8839177751	0.2810369865
283	0.8879518072	0.2807690261
284	0.8884870404	0.2805098065
285	0.8879518072	0.2803448193
286	0.8878166466	0.2800138028
287	0.8878166466	0.2798000658
288	0.8883524442	0.2795539957
289	0.8890229192	0.2792729804
290	0.8890229192	0.2789109056
291	0.8900966184	0.27862660929292	0.8906344411	0.27834836929293	0.8906344411	0.27794112529294	0.8906344411	0.27769387829295	0.8899637243	0.27722697729296	0.8899637243	0.27713716229297	0.8899637243	0.27656561229298	0.8899637243	0.27647058830299	0.889292196	0.27631727123300	0.8899637243	0.27606048430301	0.8899637243	0.27574986303	0.9256594724	0.2029702526
304	0.9256594724	0.2025904146
305	0.9256594724	0.2023301725
306	0.9256594724	0.2020383539
307	0.9256594724	0.2017183054
308	0.925014997	0.2013363632
309	0.9256594724	0.2010424083
310	0.9256594724	0.2008190511
311	0.9256594724	0.2005256879
312	0.926214757	0.2001362295
313	0.926214757	0.1999710974
314	0.9255702281	0.1994814697
3314	0.8938480097	0.27117348293315	0.8938480097	0.27097541313316	0.8938480097	0.2706531564318	0.9255702281	0.1987441877
3318	0.8943874472	0.26993755323319	0.8943874472	0.26963936463320	0.8943874472	0.26919782223321	0.8943874472	0.26894495153322	0.8949275362	0.26847455543323	0.8949275362	0.26819377383324	0.8949275362	0.26797971326325	0.8949275362	0.26768041327326	0.8949275362	0.26749426328327	0.8949275362	0.26709008329	0.9274145171	0.1955009681
330	0.9274145171	0.1952592245
331	0.9274145171	0.1951011649
332	0.9279711885	0.1947753059
333	0.9279711885	0.1946319936
334	0.9279711885	0.1941976561
335	0.9286142771	0.193843559
336	0.9286142771	0.1934986164
337	0.9291716687	0.1931954919
338	0.9290865385	0.1928063136
339	0.9296452195	0.192482443
340	0.9302884615	0.1920348659
341	0.9302884615	0.1918599848
342	0.9302884615	0.1915351151
343	0.9302884615	0.191251421
344	0.9308478653	0.1910318856
345	0.9314079422	0.1907599423
346	0.9314079422	0.1905947963
347	0.9308478653	0.1904278458
348	0.9308478653	0.1903069232
349	0.9308478653	0.1899335244
350	0.9308478653	0.1896253478
351	0.9314903846	0.1893628768
352	0.9314903846	0.1891897572
353	0.9320505111	0.1888351481
35353	0.899637243	0.2590708848
354	0.9001814882	0.2586630441
