iter	Passed	Remaining
0	143	71688
1	149	37316
2	154	25624
3	158	19704
4	162	16057
5	167	13790
6	171	12103
7	174	10743
8	175	9569
9	192	9442
10	199	8860
11	203	8261
12	196	7362
13	203	7067
14	206	6683
15	210	6354
16	213	6078
17	225	6040
18	229	5811
19	232	5590
20	236	5404
21	240	5225
22	244	5067
23	247	4912
24	255	4862
25	259	4735
26	263	4615
27	268	4519
28	271	4412
29	274	4305
30	278	4215
31	284	4162
32	287	4074
33	294	4029
34	298	3967
35	301	3891
36	304	3815
37	308	3744
38	309	3663
39	312	3596
40	315	3536
41	318	3477
42	321	3418
43	324	3362
44	327	3307
45	329	3254
46	333	3212
47	336	3165
48	339	3121
49	342	3079
50	345	3040
51	349	3011
52	352	2972
53	355	2934
54	358	2903
55	362	2876
56	368	2864
57	372	2836
58	375	2806
59	380	2790
60	383	2763
61	388	2743
62	391	2715
63	394	2689
64	399	2676
65	402	2649
66	405	2622
67	408	2598
68	412	2577
69	415	2552
70	418	2529
71	421	2506
72	425	2486
73	427	2458
74	430	2438
75	434	2424
76	437	2403
77	440	2383
78	443	2364
79	447	2350
80	451	2334
81	455	2322
82	457	2300
83	462	2292
84	465	2273
85	468	2254
86	471	2236
87	474	2219
88	478	2210
89	482	2200
90	486	2186
91	490	2174
92	496	2173
93	500	2160
94	504	2149
95	510	2147
96	513	2135
97	517	2123
98	520	2109
99	524	2097
100	529	2091
101	532	2077
102	535	2064
103	538	2052
104	543	2044
105	546	2032
106	549	2018
107	553	2010
108	557	2000
109	562	1992
110	565	1980
111	568	1971
112	574	1968
113	577	1956
114	582	1950
115	586	1941
116	591	1937
117	594	1925
118	598	1916
119	601	1905
120	604	1894
121	609	1887
122	613	1880
123	617	1872
124	621	1864
125	624	1854
126	628	1846
127	631	1836
128	634	1825
129	637	1815
130	642	1808
131	645	1799
132	648	1790
133	652	1783
134	657	1776
135	660	1767
136	664	1760
137	670	1758
138	675	1753
139	681	1751
140	688	1753
141	694	1751
142	705	1760
143	708	1752
144	711	1742
145	715	1735
146	719	1728
147	723	1720
148	726	1710
149	729	1701
150	731	1691
151	737	1688
152	740	1679
153	743	1670
154	747	1663
155	750	1654
156	754	1649
157	757	1640
158	760	1631
159	763	1622
160	768	1618
161	771	1609
162	774	1600
163	776	1591
164	779	1582
165	782	1573
166	785	1565
167	787	1556
168	790	1548
169	793	1540
170	796	1532
171	799	1525
172	803	1517
173	805	1509
174	808	1501
175	811	1493
176	813	1484
177	816	1477
178	819	1469
179	821	1461
180	824	1453
181	827	1445
182	829	1437
183	832	1429
184	834	1421
185	837	1414
186	840	1406
187	842	1398
188	845	1391
189	848	1384
190	851	1376
191	853	1369
192	856	1362
193	859	1354
194	861	1347
195	864	1340
196	867	1334
197	870	1327
198	872	1320
199	875	1313
200	879	1307
201	882	1301
202	884	1294
203	887	1287
204	890	1280
