iter	Logloss
0	0.6750923565
1	0.6600587368
2	0.6454277008
3	0.6308109631
4	0.619655876
5	0.6094352834
6	0.5995351252
7	0.5874408849
8	0.5786109444
9	0.5697050296
10	0.5605778945
11	0.5540056987
112	0.536819203513	0.5383045422
14	0.5341295781
15	0.5288998316
116	0.5115356447117	0.5070251073118	0.502680854
19	0.4988895651
20	0.494750444
21	0.4912806089
22	0.4874356222
23	0.4839783692
24	0.482280591
25	0.4782551038
26	0.4758310235
27	0.4742114169
28	0.4720599566
29	0.4691595135
30	0.4659574444
31	0.4630404151
32	0.4602478174
33	0.4577443281
34	0.4548419554
35	0.4528317175
36	0.4507025663
37	0.448256414
38	38	0.4513925139	39	0.4492236440	0.4434799429
41	0.4410000621
42	0.4399335971
43	43	0.4431774344	0.4368640818
45	0.4352432778
46	0.4344669676
47	0.4320353073
48	48	0.4356264349	0.4283163002
50	0.4276546565
51	0.4266481351
52	0.4256577665
53	0.4248477993
54	0.4241378385
55	0.4228236041
56	0.4219415181
57	0.4214508563
58	0.4208557104
59	0.4203601429
60	0.4193271511
61	0.4178370694
62	0.4173651551
63	0.4163906464
64	0.4160082271
65	0.4155468938
66	0.4151585909
67	0.4143261341
68	0.4134057281
69	0.4129848668
70	0.4126297843
71	0.412276611
72	0.4111558845
73	0.4108191707
74	0.4102002985
75	0.4094491228
7676	0.4115017347777	0.4111782457878	0.4107685437979	0.410383035
80	0.4098696635
81	0.4094677009
82	0.4090757995
83	0.4087550305
84	0.4084380438
85	0.4079834279
86	0.407799487	087	0.4075607942
88	0.4073800395
89	0.4070367355
90	0.4068106198
91	0.4057134531
92	0.4052427338
93	0.4042014985
94	0.4039216579
95	0.4034441649
96	0.4032214494
97	0.4030932074
98	0.4025266371
99	0.4023321185
100	0.4014014887
101	0.4012142608
102	0.401005229
103	0.400752079
104	0.4004423545
105	0.4002426201
106	0.4000649888
107	0.3999298694
108	0.3997166023
109	0.3995617932
110	0.3989921701
111	0.3987873632
112	0.3985322206
113	0.3982936963
114	0.398021601
115	0.397804707
116	0.3971439131
117	0.3968668142
118	0.396660007
119	0.3964207354
120	0.39621211121121	0.39606820122122	0.39590606123123	0.39575330124124	0.3955296125	125	0.3952754126	126	0.3951125127	127	0.3949426748
128	0.3947285129	129	0.394250186
130	0.3940999933
131	0.3939050865
132	0.393741363
133	0.393597017
134	0.3929286274
135	0.3927363973
136	0.3925440636
137	0.3923642537
138	0.391929966
139	0.3918051267
140	0.3916665946
141	0.39154992551142	0.3914207722
143	0.3912810713
144	0.3911061502
145	0.390972088
146	0.3907973695
147	0.3906935866
148	0.3905464838
149	0.390411161
150	0.3902425193
151	0.390078566
152	0.3898782209
153	0.3898077457
154	0.3896479115
155	0.3894944605
156	0.3893597471
157	0.3892581308
158	0.3891391761
159	0.3890403652
160	0.388856519
161	0.3881512833
162	0.3877997864
163	0.3876425269
164	0.3875059828
165	0.387336465
166	0.3872089442
167	0.3870235433
168	0.3869100665
169	0.3864500259
170	0.3863321793
171	0.3861568754
172	0.3860562744
173	0.3858867172
174	0.3857397115
175	0.3855798448
176	0.3854022835
177	0.3852699886
178	0.3849382802
179	0.3848348248
180	0.3847261088
181	0.3846285891
182	0.3845415778
183	0.3844620542
184	0.3843117229
185	0.3841824737
186	0.38403285
187	0.3838377407
188	0.3836381687
189	0.3835819333
190	0.3834974441
191	0.3834327837
192	0.3833075876
193	0.3832016454
194	0.3830393911
195	0.3829023924
196	0.3827859954
197	0.3826635353
198	0.3824831406
199	0.3823804426
200	0.3822058733
201	0.3821288641
202	0.3820332775
203	0.3818976216
204	0.3817989743
205	0.3816680762
206	0.3815782951
207	0.3814415441
208	0.3813429417
209	0.3812926092
210	0.3811271268
211	0.3809580952
212	0.3807871098
213	0.3806683067
214	0.3805504655
215	0.3804184526
216	0.3803562034
217	0.3802069375
218	0.3800828924
219	0.3799217979
220	0.37979182262221	0.37970870332222	0.37959049812223	0.37950496172224	0.37944314092225	0.37931919042226	0.37926001672227	0.37914750792228	0.37901160882229	0.37889940662230	0.37882442923231	0.37867553223232	0.37857528223233	0.37843519223234	0.37836114223235	0.37821411723236	0.37816210623237	0.37804968238238	0.37796462239239	0.37791320240240	0.37780149241241	0.37770736242242	0.37730353243243	0.37719890244244	0.37704597245245	0.37699501246	0.3731750011
247	0.3731159632
248	0.3730111569
249	0.3729377671
250	0.3728221503
251	0.372754597
252	252	0.3759472253	253	0.3758805254	254	0.3757583255	255	0.3756461256	256	0.3755159257	257	0.3752949258	258	0.375239259	0259	0.375137260	0260	0.375005261	0261	0.3749180458
262	0.3748036137
263	0.3747124926
264	0.3746025124
265	0.3744456248
266	0.3743760822
267	0.3742309568
268	0.373723001
269	0.3735980884
270	0.373464323
271	0.3733355347
272	0.3732193152
273	0.373012025
274	0.3728299205
275	0.3727202405
276	0.3725918103
277	0.3724473567
278	0.3723620954
279	0.3723095131
280	0.3720112705
281	0.3719205193
282	0.37179575
283	0.3717104786
284	0.3715720675
285	0.3714357705
286	0.37085800828287	0.37070027728288	0.37055894329289	0.3704789163
290	0.3703931636
291	0.3702611829
292	0.3701786281
293	0.3700457732
294	0.3696743753
295	0.3695291381
296	0.369406034
297	0.369300777
298	0.3691842697
299	0.3690764187
300	0.3689940514
301	0.3688825985
302	0.3687880443
303	0.3687128989
304	0.3685800098
305	0.3684723329
306	0.3684267378
307	0.3683318506
308	0.3682001931309	0.36805764731310	0.36795916131311	0.36785296631312	0.36773855631313	0.36761077531314	0.36752068631315	0.36746787831316	0.36736173031317	0.36727740831318	0.36720077232319	0.36705657432320	0.36690891432321	0.36678812132322	0.36668194032323	0.36660447132324	0.36650557032325	0.36639285332326	0.36615946932327	0.3660112043328	0.36590120333329	0.36581114193330	0.365690899
331	0.3650941754
332	0.3650171538
333	0.364961824
334	0.3645264917
335	0.364369549
336	0.3641756686
337	0.3640511479
338	0.3640170083
339	0.363865857
340	0.3637543811
341	0.3637102202
342	0.3635100177
343	0.363369119
344	0.3627676133
345	0.3626940236
346	0.3625765712
347	0.3624820187
348	0.3623731836
349	0.3622142267
350	0.3620187555
351	0.3618746002
352	0.3616787696
353	0.3615910222
354	0.361528762
355	0.3614178319
356	0.3613059169
357	0.3612271896
358	0.3611654784
359	0.3610393953
360	0.3609120717
361	0.3607837726
362	0.3607001276
363	0.3605929344
364	0.3604805959
365	0.3603439456
366	0.3602539617
367	0.3601604853
368	0.3600378183
369	0.3599271052
370	0.3598690575
371	0.3597790356
372	0.3596559883
373	0.3595816849
374	0.3594377791
375	0.3593257556
376	0.3592139071
377	0.3591930411
378	0.3589000733
379	0.3588801302
380	0.358818005
381	0.3588025147
382	0.3586709942
383	0.358571343
384	0.3584671194
385	0.3584051552
386	0.3583934804
387	0.3583229005
388	0.3581814818
389	0.3581675151
390	0.3580827714
391	0.3580698505
392	0.3578645905
393	0.3577721374
394	0.357298516
395	0.3572033685
396	0.3570565203
397	0.3569549851
398	0.356872282
399	0.3567508387
400	0.3566873273
401	0.3565128636
402	0.3564206819
403	0.3564064299
404	0.3563987382
405	0.3562877359
406	0.3562158325
407	0.3562036797
408	0.3560387302
409	0.3558772409
410	0.3557098245
411	0.355497306
412	0.3554794836
413	0.3553650217
414	0.3552420108
415	0.3551816482
416	0.3551616786
417	0.3550341229
418	0.3548870594
419	0.3547811613
420	0.3546617381
421	0.3545854077
422	0.3545693228
423	0.354425062
424	0.3542698993
425	0.3540646556
426	0.3538864425
427	0.3538689144
428	0.353717163
429	0.3536553933
430	0.3535648865
431	0.3534699547
432	0.3533867055
433	0.3533787367
434	0.3532833625
435	0.3532491144
436	0.3531087631
437	0.3530074399
438	0.3529226919
439	0.3527397387
440	0.3525911693
441	0.3525857361
442	0.3525780914
443	0.3524905802
444	0.3523606392
445	0.3521586247
446	0.3521535223
447	0.3519349078
448	0.3517595914
449	0.3517278505
450	0.3517225432
451	0.351598202
452	0.3515895823
453	0.3514469984
454	0.3510413929
455	0.3505538681
456	0.3504212618
457	0.3503291997
458	0.3501584699
459	0.3501497396
460	0.3500049301
461	0.3497866374
462	0.3497774574
463	0.3496279075
464	0.3494989624
465	0.3493285378
466	0.3491926454
467	0.3490229628
468	0.3489544015
469	0.3488365372
470	0.3487056368
471	0.3486974588
472	0.3486130311
473	0.3486054442
474	0.3485159087
475	0.34850934644476	0.34841861554477	0.34840898514478	0.34818689344479	0.34811547448480	0.34801668482481	0.34786326483482	0.34785806484483	0.34785222485484	0.3478130486	485	0.3476851487	486	0.3475445488	487	0.3475370489	488	0.3474160490	489	0.3474083491	490	0.3472543492	491	0.3471158493492	0.34698088494493	0.34696331495494	0.34677581496495	0.34666883497496	0.34661556498497	0.34652465499	0.3453400296
500	0.3452732073
501500	0.34617047502	0.3450823269
503	0.3449214834
504	0.3447733255
505	0.3446790705
506	0.3445647454
507	0.3444345715
508	0.3443077136
509	0.3442132101
510	0.3441230071
511	0.3440521453
512	0.3439634197
513	0.3438760184
514	0.3436952346
515	0.3435259138
516	0.3433702022
517	0.3432236152
518	0.3429251709
519	0.3428632448
520	0.3427268944
521	0.3425638494
522	0.342365792
523	0.3422926365
524	0.3421664705
525	0.342028305
526	0.3419097593
527	0.3418094755
528	0.3416909396
529	0.3415510176
530	0.3414144772
531	0.3413552882
532	0.3412000277
533	0.3411941648
534	0.3410630658
535	0.3409371771
536	0.3408503724
537	0.340695801
538	0.3406073726
539	0.3404830876
540	0.3403468428
541	0.3401993046
542	0.3400507303
543	0.3400027409
544	0.3399323814
545	0.3397970453
546	0.3396830569
547	0.3395070504
548	0.339382913
549	0.3392686297
550	0.3391987377
551	0.3391054543
552	0.3390675628
553	0.3389907326
554	0.3388441134
555	0.3386948773
556	0.3385919328
557	0.3384744463
558	0.3384190836
559	0.3382713471
560	0.3382077662
561	0.338155195
562	0.3379874675
563	0.3379392648
564	0.3378250257
565	0.3376601855
566	0.3375172595
567	0.3374433983
568	0.3372997941
569	0.3371779736
570	0.3370677189
571	0.3370224231
572	0.3369208818
573	0.3367984514
574	0.3367374472
575	0.3365940737
576	0.3364765987
577	0.3363798056
578	0.336335602
579	0.3363321259
580	0.336225903
581	0.3361183375
582	0.3360385952
583	0.33595681
584	0.3358996808
585	0.3357909055
586	0.3356863232
587	0.3356412413
588	0.3355405929
589	0.3354841175
590	0.3353802491
591	0.3353570331
592	0.3353138653
593	0.3351213913
594	0.3349477609
595	0.3348452648
596	0.3347469623
597	0.3346375797
598	0.3345756442
599	0.334409267
600	0.3343380786
601	0.3342744976
602	0.334209773
603	0.3340690247
604	0.3339108888
605	0.3337798452
606	0.3336357867
607	0.3335403218
608	0.3334218849
609	0.3332573048
610	0.3331624223
611	0.3330947016
612	0.3330142391
613	0.3329756533
614	0.3328518004
615	0.3327588362
616	0.3323495317
617	0.3322290385
618	0.3321277992
619	0.3320030687
620	0.3319097933
621	0.3318642022
622	0.331733905
623	0.3316377779
624	0.33156846
625	0.3314515686
626	0.3311308164
627	0.3310154875
628	0.3309614204
629	0.3308551627
630	0.3307792275
631	0.3306620299
632	0.3305819978
633	0.3304835262
634	0.3303375391
635	0.3301940251
636	0.3301153271
637	0.3299735169
638	0.3295294367
639	0.3294663971
640	0.3293939376
641	0.3292856471
642	0.3291560701
643	0.3291275107
644	0.329047838
645	0.3289248591
646	0.3287976696
647	0.32861161
648	0.3285756294
649	0.3285251141
650	0.3284808508
651	0.3284468039
652	0.3283998162
653	0.3283264088
654	0.3282932824
655	0.3281659784
656	0.3280792153
657	0.3279823745
658	0.3278955595
659	0.327794006
660	0.3277057863
661	0.3273657904
662	0.3272512839
663	0.3271678458
664	0.3271124596
665	0.3269847672
666	0.3268742875
667	0.3268174922
668	0.3267324235
669	0.3265798278
