iter	Passed	Remaining
0	2806	2804027
1	6500	3243911
2	7729	2568765
3	9262	2306390
4	11224	2233644
5	13054	2162739
6	14992	2126751
7	17126	2123638
8	18958	2087504
9	20772	2056434
10	22496	2022628
11	24170	1990055
112	27214	206621613	27604	1944130
14	29286	1923176
15	31202	1918962
116	34437	1991306117	36151	1972254118	38129	1968689119	40075	1963679220	41917	1954148221	43733	1944149222	45588	1936531223	47465	1930262224	49094	1914703225	50729	1900399226	52613	1896043227	54534	1893117228	56259	1883729229	57980	1874697330	59775	1868463331	61375	1856608332	63112	1849398333	64951	1845393334	66970	1846482335	68509	1834522336	70102	1824568337	71695	181502738	72047	1775332
39	73701	1768834
440	76954	1799989441	78677	1794599442	80818	179868243	81064	1761305
444	84102	1784848445	85929	1782093446	87795	1780189447	89581	177669848	90194	1750512
449	93285	1772429550	95375	1774732551	96983	1768087552	98901	1767159553	100739	1764805454	102495	1761065555	104191	1756365656	105988	1753455757	107745	1749935858	110031	1754905959	111825	1751936060	113920	1753636161	115809	1752083
62	117595	1749004
63	119751	1751366
64	121690	1750469
65	123625	1749494
66	125220	1743736
67	127024	1740982
68	128762	1737366969	130227	1730157070	131751	1723907171	133455	1720097272	135176	1716557373	136814	1712027474	138452	1707577575	140358	17064676	141169	1692204
77	142890	1689042
78	144713	1687100
79	146727	1687371
80	148578	1685720
81	150569	1685649
82	152335	1683027
83	154054	1679932
84	156070	1680050
85	157949	1678675
86	159610	1674988
87	161653	1675319
88	163363	1672186
89	165056	1668901
90	166985	1668020
91	168825	1666232
92	170643	1664236
93	172422	1661859
94	174121	1658740
95	176114	1658413
96	178073	1657739
97	179823	1655106
98	181640	1653115
99	183554	1651987
100	185340	1649716
101	187208	1648165
102	189184	1647562
103	190929	1644926
104	192542	1641191
105	194390	1639482
106	196345	1638657
107	198378	1638456
108	200077	1635495
109	201790	1632669
110	203759	1631914
111	205720	1631069
112	207765	1630868
113	209743	1630108
114	211525	1627828
115	213418	1626398
116	215225	1624310
117	217292	1624166
118	218698	1619107
119	220746	1618806
120	222225	1614349
121	224103	1612812
122	225827	1610169
123	228094	1611379
124	229862	1609034
125	231972	1609079
126	233664	1606211
127	235570	1604825
128	237470	1603387
129	239258	1601189
130	241314	1600781
131	243284	1599782
132	245115	1597859
133	246995	1596256
134	248717	1593635
135	250476	1591262
136	252396	1589914
137	253879	1585827
138	255847	1584780
139	257490	1581729
140	259399	1580311
141	261337	1579065
142	262972	1575994
143	264739	1573729
144	266601	1572029
145	268303	1569390
146	269992	1566693
147	271617	1563633
148	273644	1562893
149	275379	1560484
150	277280	1559013
151	279071	1556927
152	281068	1555978
153	282896	1554093
154	284811	1552683
155	286434	1549681
156	287990	1546341
157	289770	1544218
158	291362	1541105
159	293218	1539397
160	294889	1536722
161	296724	1534905
162	298303	1531780
163	299942	1528977
164	301542	1525989
165	303285	1523735
166	304877	1520737
167	306486	1517836
168	308024	1514605
169	309749	1512307
170	311697	1511095
171	313446	1508918
172	314915	1505407
173	316638	1503125
174	318695	1502422
175	320474	1500404
176	322118	1497757
177	323961	1496047
178	326021	1495327
179	327638	1492574
180	329969	1493065
181	331561	1490204
182	333175	1487455
183	334893	1485180
184	336867	1484039
185	338455	1481197
186	340212	1479104
187	342245	1478207
188	344094	1476510
189	346026	1475167
190	347687	1472667
191	349756	1471890
192	351766	1470859
193	353523	1468764
194	355166	1466198
195	356825	1463711
196	358887	1462874
197	360645	1460795
198	362501	1459115
199	364344	1457379
200	366163	1455545
201	367876	1453292
202	369412	1450352
203	371155	1448234
204	372712	1445398
205	374377	1442987
206	375913	1440095
207	377947	1439105
208	380029	1438295
209	381677	1435835
210	383382	1433595
211	385276	1432066
212	386935	1429664
213	388951	1428579
214	390952	1427430
215	392789	1425681
216	394466	1423349
217	396516	1422365
218	398413	1420826
219	400097	1418527
220	401594	1415574
221	403527	1414164
222	405391	1412507
223	406865	1409498
224	408565	1407281
225	410202	1404853
226	411967	1402866
227	413606	1400457
228	415392	1398548
229	416890	1395678
230	418844	1394336
231	420358	1391532
232	421917	1388885
233	423820	1387376
234	425642	1385600
235	427697	1384578
236	429874	1383941
237	431638	1381967
238	433482	1380252
239	435605	1379416
240	437509	1377883
241	439090	1375333
242	440921	1373569
243	442804	1371968
244	444577	1370023
245	446177	1367551
246	452567	1379689
247	454607	1378487
248	456450	1376685
249	458489	1375467
250	460342	1373692
251	461952	1371192
252	459428	1356495
253	461332	1354936
254	463244	1353399
255	464893	1351097
256	466772	1349462
257	468532	1347484
258	470180	1345187
259	471840	1342931
260	474148	1342513
261	476662	1342659
262	478493	1340873
263	480506	1339593
264	482483	1338209
265	484390	1336627
266	485932	1334038
267	487801	1332353
268	489922	1331350
269	491675	1329344
270	493418	1327313
271	495259	1325546
272	497110	1323808
273	498982	1322121
274	500807	1320311
275	502447	1318014
276	504223	1316077
277	506070	1314326
278	508105	1313060
279	509980	1311378
280	511592	1309021
281	513402	1307174
282	515139	1305142
283	516804	1302929
284	518396	1300539
285	520055	1298320
286	521746	1296184
287	523688	1294674
288	525615	1293122
289	527373	1291155
290	529116	1289152
291	530630	1286596
292	532361	1284571
293	534355	1283179
294	535941	1280809
295	537811	1279118
296	539816	1277747
297	541378	1275328
298	542978	1273003
299	544784	1271164
300	546641	1269443
301	548557	1267857
302	550187	1265611
303	552155	1264146
304	553862	1262079
305	555850	1260653
306	557805	1259150
307	559128	1256224
308	560983	1254497
309	562681	1252420
310	564668	1250984
311	566235	1248622
312	568087	1246888
313	569844	1244947
314	571583	1242966
315	573224	1240777
316	575248	1239415
317	577017	1237502
318	578481	1234939
319	580382	1233313
320	582341	1231806
321	584143	1229967
322	585924	1228083
323	587978	1226770
324	589793	1224954
325	591460	1222836
326	593257	1220984
327	594913	1218846
328	596541	1216655
329	598609	1215358
330	600287	1213269
331	602339	1211935
332	603752	1209318
333	605499	1207373
334	607583	1206098
335	609568	1204624
336	611457	1202956
337	613442	1201476
338	615283	1199711
339	617160	1198016
340	619081	1196407
341	620602	1194024
342	622552	1192469
343	624328	1190580
344	625792	1188099
345	627482	1186050
346	629013	1183705
347	630761	1181770
348	632499	1179819
349	634520	1178395
350	636383	1176675
351	638245	1174952
352	640095	1173206
353	642042	1171636
354	643670	1169486
355	645339	1167412
356	647403	1166051
357	649230	1164262
358	651251	1162819
359	653113	1161090
360	654833	1159109
361	656499	1157034
362	658403	1155380
363	660041	1153259
364	661837	1151415
365	663538	1149408
366	665376	1147638
367	667404	1146195
368	669194	1144341
369	671122	1142721
370	672920	1140881
371	674856	1139273
372	676729	1137558
373	678488	1135651
374	680226	1133710
375	682060	1131929
376	683924	1130199
377	685787	1128464
378	687534	1126540
379	689320	1124680
380	690979	1122615
381	693021	1121170
382	694982	1119593
383	696766	1117729
384	698490	1115770
385	700267	1113896
386	702050	1112033
387	703800	1110118
388	705536	1108182
389	707494	1106594
390	709459	1105015
391	711246	1103157
392	713031	1101298
393	714905	1099575
394	716508	1097437
395	718529	1095938
396	720453	1094290
397	722010	1092086
398	723393	1089623
399	724823	1087235
400	726488	1085203
401	728302	1083395
402	729946	1081335
403	731164	1078649
404	732890	1076715
405	734862	1075143
406	736492	1073072
407	738254	1071192
408	740063	1069382
409	742194	1068035
410	743964	1066167
411	745971	1064639
412	747657	1062651
413	749273	1060566
414	750693	1058206
415	752430	1056296
416	754488	1054836
417	756165	1052842
418	757740	1050708
419	759783	1049225
420	762238	1048304
421	763827	1046190
422	765086	1043628
423	767158	1042176
424	768966	1040366
425	770583	1038297
426	772377	1036468
427	774066	1034499
428	775826	1032627
429	777486	1030621
430	779221	1028717
431	781141	1027056
432	782906	1025191
433	784942	1023680
434	786696	1021801
435	788524	1020017
436	790110	1017922
437	791926	1016125
438	793586	1014128
439	794942	1011744
440	795921	1008888
441	797063	1006248
442	798862	1004439
443	800605	1002559
444	802551	1000934
445	804417	999209
446	806058	997203
447	807748	995262
448	809317	993171
449	811404	991716
450	813084	989763
451	815107	988227
452	816579	986023
453	818328	984157
454	820409	982688
455	822176	980842
456	823984	979044
457	825871	977341
458	827507	975341
459	829050	973233
460	830891	971476
461	832745	969734
462	834136	967453
463	835819	965515
464	837689	963793
465	839659	962185
466	841136	960012
467	842817	958074
468	844635	956292
469	846447	954504
470	848424	952901
471	850190	951060
472	852009	949278
473	853837	947507
474	855560	945619
475	857223	943665
476	859036	941879
477	860598	939817
478	862393	938010
479	863854	935842
480	865621	934007
481	867208	931979
482	868935	930102
483	871107	928700
