customerID,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9430-NKQLY,0,1,1,72,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,1,0,25.1,1790.8,0.0
4547-LYTDD,0,0,0,16,Yes,Fiber optic,No,No,No,No,0,1,0,1,72.65,1194.3,1.0
6032-IGALN,0,0,0,1,No phone service,DSL,No,No,No,No,0,1,1,0,25.1,25.1,1.0
4836-WNFNO,0,1,0,72,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,25.0,1849.2,0.0
8993-PHFWD,0,0,0,3,No phone service,DSL,No,No,No,No,0,1,0,1,25.25,58.9,1.0
9674-EHPPG,0,1,0,46,No phone service,DSL,Yes,No,Yes,Yes,0,24,0,0,40.4,1842.7,0.0
7089-RKVSZ,0,1,1,8,Yes,No,No internet service,No internet service,No internet service,No internet service,1,12,0,0,24.4,203.95,0.0
0533-UCAAU,1,1,0,57,Yes,DSL,No,Yes,Yes,No,0,12,1,0,71.1,4140.1,0.0
9938-EKRGF,0,0,0,15,No,DSL,Yes,Yes,Yes,Yes,0,1,0,0,84.45,1287.85,0.0
8454-AATJP,0,0,0,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,0,24,0,0,115.05,8405.0,0.0
2481-SBOYW,0,0,1,61,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,1,0,25.0,1498.35,0.0
4573-JKNAE,0,0,1,12,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,19.35,212.3,0.0
1197-BVMVG,1,0,0,4,Yes,Fiber optic,No,No,No,No,0,1,1,1,74.45,294.45,0.0
9773-PEQBZ,0,0,0,10,Yes,Fiber optic,No,Yes,No,No,0,1,0,1,79.85,797.25,0.0
2143-LJULT,0,1,0,67,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,1,0,25.25,1733.15,0.0
6650-BWFRT,0,1,0,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,0,24,1,0,117.15,8529.5,0.0
7029-IJEJK,0,0,0,54,No phone service,DSL,Yes,No,No,Yes,0,12,0,0,44.1,2369.7,0.0
6976-BWGLQ,0,1,1,72,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,25.2,1787.35,0.0
4018-KJYUY,0,0,1,22,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,20.15,432.5,0.0
6500-JVEGC,0,0,0,68,Yes,Fiber optic,Yes,Yes,Yes,No,0,12,0,0,101.35,7110.75,0.0
1925-TIBLE,0,1,0,7,Yes,Fiber optic,No,No,No,No,0,1,1,1,86.5,582.5,1.0
8378-LKJAF,0,1,1,38,Yes,Fiber optic,No,No,Yes,No,0,1,1,0,101.15,3956.7,0.0
3900-AQPHZ,0,0,0,1,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,19.9,19.9,1.0
2256-YLYLP,0,1,1,68,No,DSL,No,No,Yes,Yes,0,24,1,0,72.95,4953.25,0.0
5032-MIYKT,0,0,0,1,No,Fiber optic,No,No,No,No,0,1,1,0,70.7,70.7,0.0
6961-VCPMC,1,1,0,46,No,Fiber optic,No,No,No,No,0,1,1,1,80.4,3605.2,1.0
9906-NHHVC,1,0,0,65,No phone service,DSL,No,Yes,Yes,No,0,24,1,0,53.5,3517.9,0.0
8417-GSODA,0,1,1,28,Yes,Fiber optic,No,No,No,No,0,12,0,0,92.2,2568.15,0.0
2466-NEJOJ,0,1,1,8,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,19.65,169.75,0.0
8053-WWDRO,0,1,0,6,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,19.5,146.3,1.0
3977-QCRSL,0,0,0,5,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,20.15,117.95,0.0
0125-LZQXK,0,0,0,15,No,Fiber optic,No,No,Yes,Yes,0,1,1,1,101.35,1553.95,1.0
9928-BZVLZ,0,0,0,12,No phone service,DSL,Yes,No,Yes,Yes,0,24,0,0,49.85,552.1,0.0
5073-RZGBK,0,1,1,50,Yes,DSL,Yes,Yes,Yes,Yes,0,12,1,0,80.05,4042.2,0.0
5216-WASFJ,1,1,0,31,Yes,Fiber optic,No,No,No,No,0,1,1,1,84.85,2633.4,0.0
9985-MWVIX,0,0,0,1,No,Fiber optic,No,No,No,No,0,1,1,0,70.15,70.15,1.0
0866-QLSIR,0,0,0,34,Yes,DSL,Yes,Yes,No,Yes,0,12,1,0,64.4,2088.75,1.0
9351-LZYGF,0,1,0,42,Yes,DSL,Yes,Yes,No,Yes,0,1,1,0,66.4,2727.8,0.0
5698-BQJOH,0,0,0,9,Yes,Fiber optic,No,No,No,No,0,1,0,1,94.4,857.25,1.0
8180-AKMJV,0,0,0,1,No,DSL,No,No,No,No,0,1,1,0,44.55,44.55,0.0
2773-MADBQ,0,0,0,36,No phone service,DSL,Yes,Yes,Yes,Yes,0,24,1,0,53.1,1901.25,0.0
7318-EIVKO,0,0,0,8,Yes,DSL,No,No,No,No,0,1,1,1,59.25,436.6,0.0
2676-SSLTO,0,0,0,49,Yes,DSL,No,No,No,Yes,0,24,1,0,66.15,3199.0,0.0
6608-QQLVK,0,0,0,1,No,DSL,No,No,Yes,No,0,1,1,1,50.5,50.5,1.0
5628-FCGYG,0,0,0,21,Yes,Fiber optic,No,No,No,No,0,1,1,1,84.1,1737.45,0.0
3146-MSEGF,1,1,1,72,Yes,DSL,Yes,Yes,Yes,Yes,0,24,1,0,88.05,6425.65,0.0
6040-CGACY,0,0,0,15,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,19.6,299.4,0.0
5346-BZCHP,0,1,1,69,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,19.4,1346.2,0.0
0023-UYUPN,1,1,0,50,Yes,No,No internet service,No internet service,No internet service,No internet service,1,12,0,1,25.2,1306.3,0.0
3744-ZBHON,0,0,0,3,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,1,20.2,65.95,0.0
1941-HOSAM,0,1,1,1,No,Fiber optic,No,No,No,No,0,1,1,1,90.1,90.1,0.0
7446-YPODE,1,0,0,11,Yes,DSL,Yes,Yes,No,No,0,1,0,0,60.25,662.95,0.0
2792-VPPET,0,0,0,3,No,No,No internet service,No internet service,No internet service,No internet service,1,1,1,1,20.5,76.95,0.0
1987-AUELQ,0,1,0,71,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,25.05,1873.7,0.0
3249-ZPQRG,0,0,0,4,Yes,Fiber optic,No,Yes,No,No,0,1,0,1,78.45,330.05,1.0
6302-JGYRJ,0,0,1,31,Yes,DSL,No,Yes,No,Yes,0,12,1,0,79.45,2587.7,1.0
0959-WHOKV,0,0,0,42,Yes,Fiber optic,Yes,Yes,Yes,No,0,12,1,1,99.0,4298.45,0.0
2525-GVKQU,0,0,0,60,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,20.6,1093.0,0.0
2839-RFSQE,0,0,0,2,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,20.65,38.7,1.0
2616-FLVQC,0,0,0,64,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,19.55,1240.15,0.0
2229-DPMBI,0,1,1,8,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,19.5,162.15,0.0
8042-RNLKO,0,0,0,66,Yes,No,No internet service,No internet service,No internet service,No internet service,1,12,0,0,25.45,1699.15,0.0
6773-LQTVT,1,1,1,29,No phone service,DSL,No,Yes,Yes,No,0,1,1,0,35.65,1025.15,0.0
8896-RAZCR,0,0,1,44,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,19.9,868.1,0.0
4143-HHPMK,0,0,0,52,No,Fiber optic,No,Yes,No,No,0,1,1,1,85.35,4338.6,1.0
2612-RRIDN,0,0,0,4,No,Fiber optic,No,No,No,No,0,1,1,1,81.0,340.85,1.0
0666-UXTJO,1,1,0,34,No,Fiber optic,No,No,Yes,No,0,1,1,0,85.2,2874.45,0.0
2616-UUTFK,0,1,0,33,Yes,DSL,Yes,Yes,Yes,No,0,1,1,0,72.75,2447.45,0.0
0520-FDVVT,0,0,0,35,No,Fiber optic,No,Yes,Yes,No,0,12,1,0,102.35,3626.1,1.0
5356-KZCKT,0,0,0,58,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,1,0,24.45,1513.6,0.0
3537-RYBHH,1,1,0,47,Yes,DSL,Yes,Yes,Yes,No,0,1,1,0,67.45,3252.0,0.0
7409-JURKQ,0,1,0,53,Yes,Fiber optic,No,Yes,Yes,Yes,0,12,1,0,111.8,5809.75,0.0
4806-HIPDW,0,1,0,1,No,Fiber optic,No,No,No,No,0,1,1,1,68.95,68.95,1.0
2675-DHUTR,1,1,0,58,Yes,Fiber optic,No,Yes,No,No,0,1,1,1,98.9,5780.7,0.0
0458-HEUZG,0,0,0,13,No phone service,DSL,No,No,Yes,Yes,0,24,0,0,35.4,450.4,0.0
8402-OOOHJ,0,0,0,41,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,20.65,835.15,0.0
5868-YTYKS,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,1,1,1,0,20.25,20.25,0.0
6713-OKOMC,0,0,0,10,No phone service,DSL,Yes,No,No,No,0,1,0,0,29.75,301.9,0.0
9801-NOSHQ,0,0,1,23,No,No,No internet service,No internet service,No internet service,No internet service,1,12,0,0,19.8,465.45,0.0
6323-AYBRX,0,0,0,59,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,19.35,1099.6,1.0
6625-UTXEW,0,1,0,12,No,DSL,No,Yes,No,No,0,1,1,1,51.25,612.1,0.0
5320-BRKGK,0,1,1,58,Yes,DSL,Yes,No,Yes,Yes,0,24,0,0,75.8,4415.75,0.0
8155-IBNHG,0,1,0,24,Yes,Fiber optic,No,No,No,No,0,1,1,0,75.4,1747.85,1.0
